rs;x;y;estaca_talvegue;z_lamina_mdt;z_leito_A_LEVANTAR;observacao
80253.33;683269.40;6989807.29;60.00;82.41;73.52;"1983 RS 80288.89 a 54 m; calha levantada 7.79 m"
79253.33;684185.58;6989975.39;192.00;78.60;71.02;"1983 RS 79487.68 a 238 m; calha levantada 9.48 m"
78503.33;684877.74;6990267.12;116.00;77.27;69.52;"1983 RS 78825.55 a 321 m; calha levantada 8.62 m"
77503.33;685209.50;6991101.87;44.00;75.72;66.02;"1983 RS 77436.58 a 71 m; calha levantada 13.51 m"
76753.33;685669.73;6991621.33;64.00;72.16;64.52;"1983 RS 76797.87 a 44 m; calha levantada 9.97 m"
76003.33;686411.33;6991464.42;120.00;71.31;63.02;"1983 RS 76172.84 a 190 m; calha levantada 18.32 m"
75003.33;687193.38;6991950.96;60.00;66.97;59.52;"1983 RS 74688.64 a 319 m; calha levantada 9.69 m"
73503.33;687913.83;6990993.08;108.00;64.03;55.02;"1983 RS 73630.17 a 126 m; calha levantada 7.06 m"
73003.33;688222.56;6991119.91;52.00;62.69;53.02;"1983 RS 72785.82 a 239 m; calha levantada 6.81 m"
72003.33;688838.99;6991660.33;44.00;60.96;52.52;"1983 RS 72033.50 a 39 m; calha levantada 9.81 m"
70753.33;689093.93;6990526.20;156.00;59.56;51.02;"1983 RS 70810.48 a 86 m; calha levantada 9.42 m"
70253.33;689493.28;6990193.52;132.00;58.98;49.02;"1983 RS 69920.25 a 294 m; calha levantada 7.85 m"
69503.33;690122.03;6990401.33;148.00;56.57;47.02;"1983 RS 69101.55 a 390 m; calha levantada 16.04 m"
68753.33;690784.35;6990454.21;120.00;54.42;47.02;"1983 RS 69101.55 a 295 m; calha levantada 16.04 m"
67753.33;691447.30;6991007.25;68.00;52.56;44.02;"1983 RS 67479.00 a 290 m; calha levantada 10.18 m"
67253.33;691938.42;6990896.19;120.00;52.54;44.02;"1983 RS 67479.00 a 223 m; calha levantada 10.18 m"
66753.33;692426.31;6991023.74;144.00;51.79;42.02;"1983 RS 66713.69 a 48 m; calha levantada 8.27 m"
66003.33;692992.55;6991326.17;168.00;48.65;40.52;"1983 RS 65912.30 a 248 m; calha levantada 7.14 m"
65253.33;693310.46;6991277.30;172.00;48.63;39.02;"1983 RS 65116.30 a 213 m; calha levantada 7.51 m"
63753.33;693833.57;6990263.88;84.00;44.87;35.52;"1983 RS 63443.16 a 309 m; calha levantada 7.11 m"
63003.33;694370.23;6990082.28;64.00;43.02;34.02;"1983 RS 62613.16 a 345 m; calha levantada 24.51 m"
62503.33;694732.35;6989899.46;40.00;41.83;34.02;"1983 RS 62613.16 a 109 m; calha levantada 24.51 m"
62003.33;695200.68;6989811.18;56.00;41.52;32.52;"1983 RS 61734.23 a 237 m; calha levantada 7.06 m"
60753.33;695169.00;6990638.19;68.00;39.53;30.52;"1983 RS 60872.82 a 120 m; calha levantada 15.58 m"
60253.33;695183.47;6991143.04;36.00;39.52;29.02;"1983 RS 60020.39 a 242 m; calha levantada 14.32 m"
59753.33;695560.60;6991488.44;88.00;38.65;29.02;"1983 RS 60020.39 a 272 m; calha levantada 14.32 m"
58503.33;695802.97;6992747.34;96.00;36.37;27.02;"1983 RS 58278.22 a 265 m; calha levantada 6.87 m"
57503.33;696802.16;6992709.51;100.00;34.90;25.52;"1983 RS 57385.72 a 116 m; calha levantada 11.95 m"
56753.33;697090.23;6993193.64;84.00;32.88;25.02;"1983 RS 56548.15 a 212 m; calha levantada 9.03 m"
56253.33;696647.54;6993394.57;96.00;32.86;25.02;"1983 RS 56548.15 a 293 m; calha levantada 9.03 m"
55753.33;696426.17;6993811.24;76.00;32.82;24.52;"1983 RS 55548.15 a 207 m; calha levantada 7.29 m"
54503.33;696416.58;6994799.20;92.00;28.66;20.52;"1983 RS 54603.96 a 107 m; calha levantada 7.20 m"
53503.33;696467.62;6995627.93;60.00;27.65;18.52;"1983 RS 53404.06 a 210 m; calha levantada 6.75 m"
52753.33;696453.68;6996005.33;124.00;26.11;17.52;"1983 RS 52458.56 a 293 m; calha levantada 7.17 m"
51753.33;697387.05;6996132.36;160.00;24.50;16.52;"1983 RS 51458.56 a 296 m; calha levantada 8.47 m"
51003.33;698038.57;6995833.62;136.00;24.23;16.52;"1983 RS 51458.56 a 442 m; calha levantada 8.47 m"
50003.33;698997.73;6995801.33;120.00;22.77;14.52;"1983 RS 49552.91 a 423 m; calha levantada 6.76 m"
49003.33;699663.56;6996403.83;84.00;21.70;13.52;"1983 RS 48552.91 a 411 m; calha levantada 6.96 m"
48003.33;700471.86;6996025.27;100.00;20.20;11.52;"1983 RS 47608.96 a 386 m; calha levantada 6.89 m"
47253.33;701048.65;6996120.08;92.00;18.00;11.52;"1983 RS 47608.96 a 279 m; calha levantada 6.89 m"
46253.33;701496.00;6997013.62;84.00;17.53;10.52;"1983 RS 46743.89 a 490 m; calha levantada 8.59 m"
45753.33;701791.84;6997420.35;132.00;16.85;10.02;"1983 RS 45743.89 a 15 m; calha levantada 7.17 m"
45003.33;702357.69;6997598.32;92.00;15.94;9.02;"1983 RS 44776.60 a 229 m; calha levantada 6.73 m"
44503.33;702718.21;6997243.62;124.00;15.93;9.02;"1983 RS 44776.60 a 278 m; calha levantada 6.73 m"
42753.33;703808.34;6997580.98;304.00;12.44;6.52;"1983 RS 42783.36 a 52 m; calha levantada 6.82 m"
42253.33;704270.52;6997761.54;168.00;12.43;6.02;"1983 RS 41783.36 a 472 m; calha levantada 6.84 m"
41753.33;704388.77;6998249.19;184.00;12.42;6.02;"1983 RS 41783.36 a 42 m; calha levantada 6.84 m"
40753.33;704498.63;6999211.95;144.00;12.41;5.52;"1983 RS 40783.36 a 37 m; calha levantada 6.86 m"
39753.33;703823.58;6999603.88;248.00;12.38;5.02;"1983 RS 39783.36 a 48 m; calha levantada 6.84 m"
38503.33;704707.19;7000478.72;204.00;12.15;4.52;"1983 RS 38783.36 a 281 m; calha levantada 7.83 m"
38003.33;704992.00;7000878.72;248.00;11.25;4.02;"1983 RS 38023.69 a 26 m; calha levantada 7.13 m"
37503.33;705479.53;7000910.48;228.00;9.21;3.98;"1983 RS 37637.58 a 145 m; calha levantada 7.63 m"
36753.33;706082.79;7000485.41;296.00;9.19;3.47;"1983 RS 36699.72 a 62 m; calha levantada 8.24 m"
35753.33;707009.43;7000862.47;384.00;9.17;3.02;"1983 RS 36166.00 a 409 m; calha levantada 8.64 m"
35253.33;707404.35;7001174.12;420.00;8.63;2.52;"1983 RS 35338.58 a 88 m; calha levantada 7.85 m"
34503.33;707444.39;7001827.04;340.00;8.61;1.52;"1983 RS 34338.58 a 165 m; calha levantada 8.22 m"
34003.33;707219.98;7002235.21;388.00;8.60;1.52;"1983 RS 34338.58 a 317 m; calha levantada 8.22 m"
33503.33;707388.03;7002703.75;392.00;7.29;1.02;"1983 RS 33338.58 a 164 m; calha levantada 6.99 m"
33003.33;707736.27;7003007.00;416.00;7.14;1.02;"1983 RS 33338.58 a 319 m; calha levantada 6.99 m"
32503.33;708214.21;7003153.52;424.00;5.98;0.02;"1983 RS 32338.58 a 168 m; calha levantada 7.48 m"
32003.33;708606.36;7003469.37;392.00;5.93;0.02;"1983 RS 32338.58 a 335 m; calha levantada 7.48 m"
31503.33;708981.80;7003800.46;368.00;5.91;-0.48;"1983 RS 31338.58 a 166 m; calha levantada 6.92 m"
