data;cota
1983-06-01;162
1983-06-02;154
1983-06-03;149
1983-06-04;148
1983-06-05;143
1983-06-06;144
1983-06-07;142
1983-06-08;140
1983-06-09;141
1983-06-10;145
1983-06-11;148
1983-06-12;374
1983-06-13;209
1983-06-14;176
1983-06-15;160
1983-06-16;147
1983-06-17;144
1983-06-18;141
1983-06-19;140
1983-06-20;137
1983-06-21;135
1983-06-22;134
1983-06-23;132
1983-06-24;280
1983-06-25;259
1983-06-26;223
1983-06-27;194
1983-06-28;176
1983-06-29;161
1983-06-30;153
1983-07-01;147
1983-07-02;145
1983-07-03;141
1983-07-04;139
1983-07-05;137
1983-07-06;331
1983-07-07;418
1983-07-08;413
1983-07-09;379
1983-07-10;332
1983-07-11;298
1983-07-12;374
1983-07-13;254
1983-07-14;228
1983-07-15;186
1983-07-16;218
1983-07-17;424
1983-07-18;257
1983-07-19;205
1983-07-20;196
1983-07-21;188
1983-07-22;179
1983-07-23;175
1983-07-24;172
1983-07-25;277
1983-07-26;388
1983-07-27;351
1983-07-28;323
1983-07-29;237
1983-07-30;219
1983-07-31;209
1983-08-01;372
1983-08-02;246
1983-08-03;206
1983-08-04;197
1983-08-05;187
1983-08-06;181
1983-08-07;177
1983-08-08;171
1983-08-09;170
1983-08-10;167
1983-08-11;165
1983-08-12;162
1983-08-13;162
1983-08-14;162
1983-08-15;157
1983-08-16;152
1983-08-17;158
1983-08-18;158
1983-08-19;149
1983-08-20;145
1983-08-21;142
1983-08-22;140
1983-08-23;140
1983-08-24;139
1983-08-25;136
1983-08-26;134
1983-08-27;134
1983-08-28;132
1983-08-29;132
1983-08-30;132
1983-08-31;130
