data;cota
1983-06-01;122
1983-06-02;112
1983-06-03;105
1983-06-04;101
1983-06-05;100
1983-06-06;98
1983-06-07;97
1983-06-08;96
1983-06-09;96
1983-06-10;126
1983-06-11;98
1983-06-12;276
1983-06-13;211
1983-06-14;209
1983-06-15;135
1983-06-16;134
1983-06-17;117
1983-06-18;109
1983-06-19;105
1983-06-20;101
1983-06-21;98
1983-06-22;97
1983-06-23;97
1983-06-24;251
1983-06-25;258
1983-06-26;175
1983-06-27;150
1983-06-28;145
1983-06-29;129
1983-06-30;121
1983-07-01;113
1983-07-02;106
1983-07-03;100
1983-07-04;98
1983-07-05;99
1983-07-06;292
1983-07-07;462
1983-07-08;513
1983-07-09;505
1983-07-10;445
1983-07-11;382
1983-07-12;393
1983-07-13;283
1983-07-14;254
1983-07-15;179
1983-07-16;173
1983-07-17;313
1983-07-18;266
1983-07-19;185
1983-07-20;161
1983-07-21;132
1983-07-22;120
1983-07-23;111
1983-07-24;105
1983-07-25;230
1983-07-26;424
1983-07-27;380
1983-07-28;323
1983-07-29;244
1983-07-30;193
1983-07-31;172
1983-08-01;315
1983-08-02;264
1983-08-03;204
1983-08-04;165
1983-08-05;152
1983-08-06;142
1983-08-07;133
1983-08-08;125
1983-08-09;119
1983-08-10;113
1983-08-11;109
1983-08-12;106
1983-08-13;104
1983-08-14;102
1983-08-15;100
1983-08-16;99
1983-08-17;106
1983-08-18;113
1983-08-19;105
1983-08-20;99
1983-08-21;95
1983-08-22;92
1983-08-23;90
1983-08-24;89
1983-08-25;88
1983-08-26;86
1983-08-27;86
1983-08-28;84
1983-08-29;82
1983-08-30;82
1983-08-31;80
