data;cota
1983-06-01;454
1983-06-02;475
1983-06-03;466
1983-06-04;448
1983-06-05;385
1983-06-06;208
1983-06-07;164
1983-06-08;150
1983-06-09;144
1983-06-10;160
1983-06-11;147
1983-06-12;414
1983-06-13;486
1983-06-14;400
1983-06-15;437
1983-06-16;443
1983-06-17;449
1983-06-18;449
1983-06-19;440
1983-06-20;366
1983-06-21;192
1983-06-22;154
1983-06-23;153
1983-06-24;409
1983-06-25;428
1983-06-26;370
1983-06-27;326
1983-06-28;394
1983-06-29;367
1983-06-30;299
1983-07-01;256
1983-07-02;225
1983-07-03;223
1983-07-04;193
1983-07-05;176
1983-07-06;383
1983-07-07;738
1983-07-08;840
1983-07-09;942
1983-07-10;1044
1983-07-11;1168
1983-07-12;1291
1983-07-13;1019
1983-07-14;771
1983-07-15;908
1983-07-16;709
1983-07-17;811
1983-07-18;818
1983-07-19;732
1983-07-20;610
1983-07-21;514
1983-07-22;524
1983-07-23;546
1983-07-24;556
1983-07-25;579
1983-07-26;647
1983-07-27;638
1983-07-28;790
1983-07-29;867
1983-07-30;783
1983-07-31;691
1983-08-01;820
1983-08-02;910
1983-08-03;843
1983-08-04;712
1983-08-05;315
1983-08-06;261
1983-08-07;251
1983-08-08;248
1983-08-09;241
1983-08-10;231
1983-08-11;224
1983-08-12;220
1983-08-13;215
1983-08-14;210
1983-08-15;208
1983-08-16;209
1983-08-17;207
1983-08-18;216
1983-08-19;232
1983-08-20;226
1983-08-21;216
1983-08-22;144
1983-08-23;134
1983-08-24;130
1983-08-25;124
1983-08-26;120
1983-08-27;113
1983-08-28;105
1983-08-29;103
1983-08-30;98
1983-08-31;94
