data;vazao
1980-01-01;530.274
1980-01-02;481.137
1980-01-03;357.716
1980-01-04;293.015
1980-01-05;264.465
1980-01-06;248.708
1980-01-07;245.237
1980-01-08;359.608
1980-01-09;728.163
1980-01-10;1185.29
1980-01-11;1005.98
1980-01-12;734.852
1980-01-13;548.981
1980-01-14;437.089
1980-01-15;372.912
1980-01-16;335.2
1980-01-17;386.328
1980-01-18;532.345
1980-01-19;646.851
1980-01-20;824.783
1980-01-21;699.342
1980-01-22;491.283
1980-01-23;390.18
1980-01-24;382.483
1980-01-25;522.009
1980-01-26;710.395
1980-01-27;717.046
1980-01-28;612.391
1980-01-29;588.955
1980-01-30;522.009
1980-01-31;435.11
1980-02-01;378.648
1980-02-02;363.398
1980-02-03;350.173
1980-02-04;320.379
1980-02-05;289.41
1980-02-06;278.656
1980-02-07;401.792
1980-02-08;397.913
1980-02-09;327.77
1980-02-10;284.021
1980-02-11;382.483
1980-02-12;563.633
1980-02-13;499.434
1980-02-14;469.028
1980-02-15;450.998
1980-02-16;437.089
1980-02-17;417.395
1980-02-18;388.253
1980-02-19;353.94
1980-02-20;335.2
1980-02-21;322.223
1980-02-22;318.537
1980-02-23;311.195
1980-02-24;302.074
1980-02-25;318.537
1980-02-26;378.648
1980-02-27;443.037
1980-02-28;548.981
1980-02-29;1217.11
1980-03-01;1559.69
1980-03-02;1423.52
1980-03-03;1363.53
1980-03-04;1416.82
1980-03-05;1528.72
1980-03-06;1350.3
1980-03-07;1242.76
1980-03-08;1178.95
1980-03-09;1343.71
1980-03-10;1204.35
1980-03-11;1066.77
1980-03-12;1072.91
1980-03-13;1197.98
1980-03-14;1150.58
1980-03-15;999.965
1980-03-16;779.875
1980-03-17;686.131
1980-03-18;584.717
1980-03-19;501.477
1980-03-20;460.994
1980-03-21;429.186
1980-03-22;384.404
1980-03-23;353.94
1980-03-24;331.48
1980-03-25;322.223
1980-03-26;309.366
1980-03-27;329.624
1980-03-28;376.734
1980-03-29;528.205
1980-03-30;439.069
1980-03-31;384.404
1980-04-01;337.063
1980-04-02;305.715
1980-04-03;280.441
1980-04-04;266.229
1980-04-05;259.188
1980-04-06;245.237
1980-04-07;221.262
1980-04-08;207.822
1980-04-09;206.156
1980-04-10;236.609
1980-04-11;229.759
1980-04-12;226.351
1980-04-13;276.872
1980-04-14;548.981
1980-04-15;1015.03
1980-04-16;913.984
1980-04-17;686.131
1980-04-18;483.163
1980-04-19;390.18
1980-04-20;353.94
1980-04-21;320.379
1980-04-22;293.015
1980-04-23;273.314
1980-04-24;260.944
1980-04-25;245.237
1980-04-26;238.329
1980-04-27;228.054
1980-04-28;217.884
1980-04-29;212.839
1980-04-30;207.822
1980-05-01;202.841
1980-05-02;240.052
1980-05-03;337.063
1980-05-04;355.827
1980-05-05;260.944
1980-05-06;233.178
1980-05-07;211.164
1980-05-08;253.935
1980-05-09;421.316
1980-05-10;429.186
1980-05-11;437.089
1980-05-12;538.57
1980-05-13;465.007
1980-05-14;359.608
1980-05-15;318.537
1980-05-16;287.611
1980-05-17;266.229
1980-05-18;269.766
1980-05-19;264.465
1980-05-20;264.465
1980-05-21;238.329
1980-05-22;278.656
1980-05-23;325.919
1980-05-24;313.027
1980-05-25;285.815
1980-05-26;287.611
1980-05-27;280.441
1980-05-28;273.314
1980-05-29;267.996
1980-05-30;266.229
1980-05-31;262.703
1980-06-01;255.684
1980-06-02;262.703
1980-06-03;266.229
1980-06-04;269.766
1980-06-05;262.703
1980-06-06;255.684
1980-06-07;259.188
1980-06-08;260.944
1980-06-09;259.188
1980-06-10;262.703
1980-06-11;264.465
1980-06-12;259.188
1980-06-13;255.684
1980-06-14;255.684
1980-06-15;255.684
1980-06-16;259.188
1980-06-17;257.434
1980-06-18;250.448
1980-06-19;252.19
1980-06-20;259.188
1980-06-21;266.229
1980-06-22;276.872
1980-06-23;285.815
1980-06-24;294.822
1980-06-25;324.07
1980-06-26;946.314
1980-06-27;899.405
1980-06-28;651.189
1980-06-29;435.11
1980-06-30;380.565
1980-07-01;421.316
1980-07-02;1012.01
1980-07-03;1774.63
1980-07-04;1986.83
1980-07-05;1643.22
1980-07-06;1131.79
1980-07-07;984.97
1980-07-08;919.836
1980-07-09;981.979
1980-07-10;967.069
1980-07-11;836.132
1980-07-12;714.827
1980-07-13;649.019
1980-07-14;584.717
1980-07-15;553.158
1980-07-16;519.947
1980-07-17;460.994
1980-07-18;421.316
1980-07-19;397.913
1980-07-20;369.1
1980-07-21;350.173
1980-07-22;327.77
1980-07-23;324.07
1980-07-24;320.379
1980-07-25;331.48
1980-07-26;338.929
1980-07-27;338.929
1980-07-28;337.063
1980-07-29;335.2
1980-07-30;620.965
1980-07-31;2160.33
1980-08-01;2361.82
1980-08-02;1360.22
1980-08-03;1012.01
1980-08-04;841.825
1980-08-05;774.316
1980-08-06;785.445
1980-08-07;899.405
1980-08-08;990.96
1980-08-09;964.096
1980-08-10;819.127
1980-08-11;725.936
1980-08-12;721.488
1980-08-13;627.414
1980-08-14;340.797
1980-08-15;335.2
1980-08-16;342.668
1980-08-17;337.063
1980-08-18;335.2
1980-08-19;376.734
1980-08-20;479.114
1980-08-21;649.019
1980-08-22;1671.37
1980-08-23;1957.12
1980-08-24;1570.06
1980-08-25;2183.29
1980-08-26;2731.66
1980-08-27;2264.25
1980-08-28;1590.86
1980-08-29;1373.47
1980-08-30;1268.58
1980-08-31;1125.54
1980-09-01;1075.99
1980-09-02;1556.24
1980-09-03;2206.33
1980-09-04;2057.94
1980-09-05;1366.84
1980-09-06;1005.98
1980-09-07;1018.05
1980-09-08;1015.03
1980-09-09;967.069
1980-09-10;928.636
1980-09-11;955.192
1980-09-12;896.498
1980-09-13;870.467
1980-09-14;961.125
1980-09-15;1054.53
1980-09-16;1141.17
1980-09-17;893.594
1980-09-18;922.767
1980-09-19;931.576
1980-09-20;882.007
1980-09-21;858.974
1980-09-22;836.132
1980-09-23;813.483
1980-09-24;813.483
1980-09-25;796.624
1980-09-26;830.452
1980-09-27;853.246
1980-09-28;847.529
1980-09-29;884.899
1980-09-30;887.794
1980-10-01;785.445
1980-10-02;714.827
1980-10-03;679.547
1980-10-04;633.878
1980-10-05;597.453
1980-10-06;565.733
1980-10-07;542.728
1980-10-08;593.201
1980-10-09;879.117
1980-10-10;879.117
1980-10-11;796.624
1980-10-12;853.246
1980-10-13;943.361
1980-10-14;937.462
1980-10-15;879.117
1980-10-16;816.304
1980-10-17;710.395
1980-10-18;721.488
1980-10-19;799.426
1980-10-20;836.132
1980-10-21;984.97
1980-10-22;1347
1980-10-23;1347
1980-10-24;1116.2
1980-10-25;931.576
1980-10-26;873.347
1980-10-27;876.231
1980-10-28;1015.03
1980-10-29;1027.13
1980-10-30;1134.91
1980-10-31;1946.01
1980-11-01;1843.32
1980-11-02;1674.9
1980-11-03;1258.88
1980-11-04;973.025
1980-11-05;870.467
1980-11-06;752.758
1980-11-07;890.693
1980-11-08;876.231
1980-11-09;882.007
1980-11-10;1376.79
1980-11-11;1846.96
1980-11-12;1380.11
1980-11-13;838.977
1980-11-14;723.711
1980-11-15;636.036
1980-11-16;597.453
1980-11-17;574.152
1980-11-18;528.205
1980-11-19;503.521
1980-11-20;467.016
1980-11-21;437.089
1980-11-22;449.005
1980-11-23;483.163
1980-11-24;1163.16
1980-11-25;984.97
1980-11-26;679.547
1980-11-27;509.667
1980-11-28;473.056
1980-11-29;374.822
1980-11-30;397.913
1980-12-01;483.163
1980-12-02;483.163
1980-12-03;2009.2
1980-12-04;2020.42
1980-12-05;1689.03
1980-12-06;1443.7
1980-12-07;1304.34
1980-12-08;1185.29
1980-12-09;1048.42
1980-12-10;925.7
1980-12-11;867.589
1980-12-12;896.498
1980-12-13;873.347
1980-12-14;838.977
1980-12-15;782.658
1980-12-16;688.328
1980-12-17;578.373
1980-12-18;517.887
1980-12-19;485.19
1980-12-20;981.979
1980-12-21;2050.42
1980-12-22;2649.85
1980-12-23;2248.76
1980-12-24;1197.98
1980-12-25;1079.07
1980-12-26;1169.47
1980-12-27;1281.55
1980-12-28;1343.71
1980-12-29;1420.17
1980-12-30;1494.53
1980-12-31;1601.29
1981-01-01;2797.67
1981-01-02;2744
1981-01-03;2593.04
1981-01-04;2536.61
1981-01-05;2468.62
1981-01-06;1717.42
1981-01-07;1480.92
1981-01-08;1288.05
1981-01-09;1172.63
1981-01-10;1091.4
1981-01-11;928.636
1981-01-12;821.954
1981-01-13;757.716
1981-01-14;810.666
1981-01-15;937.462
1981-01-16;876.231
1981-01-17;802.231
1981-01-18;819.127
1981-01-19;981.979
1981-01-20;1163.16
1981-01-21;1383.44
1981-01-22;1027.13
1981-01-23;844.675
1981-01-24;766.002
1981-01-25;719.266
1981-01-26;708.181
1981-01-27;670.792
1981-01-28;623.113
1981-01-29;651.189
1981-01-30;856.109
1981-01-31;1175.79
1981-02-01;970.045
1981-02-02;838.977
1981-02-03;793.824
1981-02-04;782.658
1981-02-05;1301.08
1981-02-06;1229.92
1981-02-07;1147.44
1981-02-08;1072.91
1981-02-09;946.314
1981-02-10;876.231
1981-02-11;830.452
1981-02-12;882.007
1981-02-13;902.315
1981-02-14;1033.2
1981-02-15;990.96
1981-02-16;908.144
1981-02-17;757.716
1981-02-18;640.357
1981-02-19;561.534
1981-02-20;551.068
1981-02-21;595.326
1981-02-22;640.357
1981-02-23;565.733
1981-02-24;688.328
1981-02-25;603.844
1981-02-26;555.249
1981-02-27;584.717
1981-02-28;499.434
1981-03-01;538.57
1981-03-02;467.016
1981-03-03;524.072
1981-03-04;530.274
1981-03-05;495.355
1981-03-06;456.99
1981-03-07;450.998
1981-03-08;458.991
1981-03-09;578.373
1981-03-10;576.262
1981-03-11;495.355
1981-03-12;419.354
1981-03-13;371.005
1981-03-14;376.734
1981-03-15;380.565
1981-03-16;338.929
1981-03-17;318.537
1981-03-18;316.698
1981-03-19;342.668
1981-03-20;333.339
1981-03-21;305.715
1981-03-22;289.41
1981-03-23;269.766
1981-03-24;240.052
1981-03-25;234.892
1981-03-26;219.571
1981-03-27;226.351
1981-03-28;561.534
1981-03-29;913.984
1981-03-30;712.61
1981-03-31;565.733
1981-04-01;445.024
1981-04-02;333.339
1981-04-03;296.631
1981-04-04;269.766
1981-04-05;255.684
1981-04-06;243.506
1981-04-07;250.448
1981-04-08;238.329
1981-04-09;224.652
1981-04-10;222.955
1981-04-11;212.839
1981-04-12;206.156
1981-04-13;214.518
1981-04-14;207.822
1981-04-15;211.164
1981-04-16;201.027
1981-04-17;219.571
1981-04-18;228.054
1981-04-19;224.652
1981-04-20;207.822
1981-04-21;201.027
1981-04-22;190.24
1981-04-23;186.682
1981-04-24;186.682
1981-04-25;202.841
1981-04-26;271.539
1981-04-27;469.028
1981-04-28;653.36
1981-04-29;672.978
1981-04-30;569.939
1981-05-01;491.283
1981-05-02;425.247
1981-05-03;344.54
1981-05-04;276.872
1981-05-05;255.684
1981-05-06;253.935
1981-05-07;243.506
1981-05-08;231.467
1981-05-09;214.518
1981-05-10;211.164
1981-05-11;201.027
1981-05-12;204.493
1981-05-13;195.612
1981-05-14;193.817
1981-05-15;183.143
1981-05-16;186.682
1981-05-17;183.143
1981-05-18;231.467
1981-05-19;241.777
1981-05-20;226.351
1981-05-21;248.708
1981-05-22;222.955
1981-05-23;202.841
1981-05-24;199.217
1981-05-25;184.91
1981-05-26;186.682
1981-05-27;177.872
1981-05-28;179.624
1981-05-29;216.199
1981-05-30;207.822
1981-05-31;184.91
1981-06-01;176.124
1981-06-02;170.912
1981-06-03;169.184
1981-06-04;164.031
1981-06-05;164.031
1981-06-06;177.872
1981-06-07;181.381
1981-06-08;170.912
1981-06-09;240.052
1981-06-10;280.441
1981-06-11;238.329
1981-06-12;209.492
1981-06-13;211.164
1981-06-14;201.027
1981-06-15;184.91
1981-06-16;186.682
1981-06-17;197.412
1981-06-18;199.217
1981-06-19;184.91
1981-06-20;167.461
1981-06-21;150.514
1981-06-22;142.237
1981-06-23;145.532
1981-06-24;152.186
1981-06-25;162.323
1981-06-26;172.644
1981-06-27;170.912
1981-06-28;174.382
1981-06-29;152.186
1981-06-30;152.186
1981-07-01;130.875
1981-07-02;167.461
1981-07-03;211.164
1981-07-04;257.434
1981-07-05;245.237
1981-07-06;226.351
1981-07-07;212.839
1981-07-08;217.884
1981-07-09;236.609
1981-07-10;211.164
1981-07-11;207.822
1981-07-12;207.822
1981-07-13;202.841
1981-07-14;204.493
1981-07-15;211.164
1981-07-16;248.708
1981-07-17;273.314
1981-07-18;289.41
1981-07-19;241.777
1981-07-20;293.015
1981-07-21;273.314
1981-07-22;212.839
1981-07-23;250.448
1981-07-24;255.684
1981-07-25;401.792
1981-07-26;569.939
1981-07-27;509.667
1981-07-28;390.18
1981-07-29;361.502
1981-07-30;324.07
1981-07-31;280.441
1981-08-01;269.766
1981-08-02;260.944
1981-08-03;252.19
1981-08-04;241.777
1981-08-05;221.262
1981-08-06;216.199
1981-08-07;217.884
1981-08-08;234.892
1981-08-09;255.684
1981-08-10;260.944
1981-08-11;259.188
1981-08-12;224.652
1981-08-13;266.229
1981-08-14;300.257
1981-08-15;311.195
1981-08-16;309.366
1981-08-17;291.211
1981-08-18;252.19
1981-08-19;238.329
1981-08-20;228.054
1981-08-21;207.822
1981-08-22;195.612
1981-08-23;193.817
1981-08-24;190.24
1981-08-25;211.164
1981-08-26;228.054
1981-08-27;234.892
1981-08-28;259.188
1981-08-29;284.021
1981-08-30;327.77
1981-08-31;376.734
1981-09-01;367.197
1981-09-02;342.668
1981-09-03;273.314
1981-09-04;253.935
1981-09-05;255.684
1981-09-06;252.19
1981-09-07;252.19
1981-09-08;252.19
1981-09-09;262.703
1981-09-10;253.935
1981-09-11;259.188
1981-09-12;278.656
1981-09-13;275.092
1981-09-14;291.211
1981-09-15;291.211
1981-09-16;289.41
1981-09-17;255.684
1981-09-18;197.412
1981-09-19;209.492
1981-09-20;201.027
1981-09-21;214.518
1981-09-22;269.766
1981-09-23;311.195
1981-09-24;302.074
1981-09-25;255.684
1981-09-26;238.329
1981-09-27;289.41
1981-09-28;392.11
1981-09-29;507.616
1981-09-30;519.947
1981-10-01;395.976
1981-10-02;327.77
1981-10-03;380.565
1981-10-04;357.716
1981-10-05;371.005
1981-10-06;378.648
1981-10-07;382.483
1981-10-08;415.437
1981-10-09;382.483
1981-10-10;361.502
1981-10-11;365.296
1981-10-12;372.912
1981-10-13;337.063
1981-10-14;338.929
1981-10-15;353.94
1981-10-16;335.2
1981-10-17;313.027
1981-10-18;293.015
1981-10-19;262.703
1981-10-20;324.07
1981-10-21;329.624
1981-10-22;309.366
1981-10-23;289.41
1981-10-24;278.656
1981-10-25;303.893
1981-10-26;313.027
1981-10-27;445.024
1981-10-28;686.131
1981-10-29;1088.31
1981-10-30;1284.79
1981-10-31;1069.84
1981-11-01;928.636
1981-11-02;771.542
1981-11-03;703.758
1981-11-04;591.077
1981-11-05;582.601
1981-11-06;452.993
1981-11-07;316.698
1981-11-08;309.366
1981-11-09;320.379
1981-11-10;465.007
1981-11-11;511.719
1981-11-12;477.093
1981-11-13;423.281
1981-11-14;348.293
1981-11-15;324.07
1981-11-16;287.611
1981-11-17;287.611
1981-11-18;287.611
1981-11-19;278.656
1981-11-20;287.611
1981-11-21;282.23
1981-11-22;273.314
1981-11-23;253.935
1981-11-24;255.684
1981-11-25;264.465
1981-11-26;269.766
1981-11-27;302.074
1981-11-28;287.611
1981-11-29;284.021
1981-11-30;287.611
1981-12-01;289.41
1981-12-02;287.611
1981-12-03;289.41
1981-12-04;287.611
1981-12-05;291.211
1981-12-06;779.875
1981-12-07;925.7
1981-12-08;964.096
1981-12-09;1060.65
1981-12-10;757.716
1981-12-11;443.037
1981-12-12;403.734
1981-12-13;384.404
1981-12-14;342.668
1981-12-15;305.715
1981-12-16;280.441
1981-12-17;262.703
1981-12-18;238.329
1981-12-19;243.506
1981-12-20;231.467
1981-12-21;313.027
1981-12-22;836.132
1981-12-23;1717.42
1981-12-24;1636.21
1981-12-25;1265.34
1981-12-26;763.237
1981-12-27;605.979
1981-12-28;515.829
1981-12-29;481.137
1981-12-30;369.1
1981-12-31;714.827
1982-01-01;503.521
1982-01-02;460.994
1982-01-03;467.016
1982-01-04;397.913
1982-01-05;374.822
1982-01-06;342.668
1982-01-07;327.77
1982-01-08;314.861
