data;vazao
1980-09-26;2.3975
1980-09-27;2.3975
1980-09-28;9.2079
1980-09-29;6.3595
1980-09-30;4.381
1980-10-01;3.2505
1980-10-02;3.0081
1980-10-03;3.0081
1980-10-04;2.773
1980-10-05;3.0081
1980-10-06;2.6203
1980-10-07;2.3975
1980-10-08;4.7541
1980-10-09;3.7563
1980-10-10;3.1689
1980-10-11;3.6701
1980-10-12;6.7881
1980-10-13;5.9417
1980-10-14;4.6598
1980-10-15;3.3329
1980-10-16;3.2505
1980-10-17;2.929
1980-10-18;2.6203
1980-10-19;4.0196
1980-10-20;3.2505
1980-10-21;9.2079
1980-10-22;10.9435
1980-10-23;8.8452
1980-10-24;4.945
1980-10-25;3.7563
1980-10-26;3.1689
1980-10-27;2.773
1980-10-28;8.6065
1980-10-29;4.6598
1980-10-30;5.1388
1980-10-31;9.5761
1980-11-01;6.68
1980-11-02;4.945
1980-11-03;3.4999
1980-11-04;3.0881
1980-11-05;2.8506
1980-11-06;2.6203
1980-11-07;8.3703
1980-11-08;3.0081
1980-11-09;3.7563
1980-11-10;26.4605
1980-11-11;10.2019
1980-11-12;4.5661
1980-11-13;3.0881
1980-11-14;2.929
1980-11-15;2.929
1980-11-16;2.773
1980-11-17;2.6203
1980-11-18;2.5452
1980-11-19;2.3975
1980-11-20;2.3249
1980-11-21;2.1123
1980-11-22;2.2532
1980-11-23;2.6203
1980-11-24;2.5452
1980-11-25;2.5452
1980-11-26;2.3975
1980-11-27;2.6962
1980-11-28;2.3249
1980-11-29;2.1823
1980-11-30;2.1823
1980-12-01;3.7563
1980-12-02;3.1689
1980-12-03;2.8506
1980-12-04;3.7563
1980-12-05;3.5846
1980-12-06;12.0476
1980-12-07;7.0064
1980-12-08;4.1988
1980-12-09;2.5452
1980-12-10;2.6203
1980-12-11;3.0081
1980-12-12;4.1088
1980-12-13;5.1388
1980-12-14;3.3329
1980-12-15;2.4709
1980-12-16;2.1823
1980-12-17;2.0431
1980-12-18;1.9749
1980-12-19;8.3703
1980-12-20;18.7889
1980-12-21;28.2624
1980-12-22;14.7574
1980-12-23;10.2019
1980-12-24;8.0207
1980-12-25;6.3595
1980-12-26;3.5846
1980-12-27;3.0881
1980-12-28;46.1521
1980-12-29;17.3623
1980-12-30;7.4508
1980-12-31;5.5347
1981-01-01;4.7541
1981-01-02;4.0196
1981-01-03;3.4999
1981-01-04;3.2505
1981-01-05;4.0196
1981-01-06;3.6701
1981-01-07;3.5846
1981-01-08;3.416
1981-01-09;3.2505
1981-01-10;3.2505
1981-01-11;3.0881
1981-01-12;2.929
1981-01-13;2.6203
1981-01-14;6.5725
1981-01-15;23.9113
1981-01-16;11.4299
1981-01-17;6.1493
1981-01-18;8.4881
1981-01-19;22.3622
1981-01-20;18.6445
1981-01-21;12.8031
1981-01-22;6.7881
1981-01-23;5.2367
1981-01-24;5.2367
1981-01-25;4.6598
1981-01-26;4.2895
1981-01-27;3.416
1981-01-28;3.2505
1981-01-29;2.929
1981-01-30;2.6962
1981-01-31;3.1689
1981-02-01;3.1689
1981-02-02;3.3329
1981-02-03;3.3329
1981-02-04;2.929
1981-02-05;6.5725
1981-02-06;4.8492
1981-02-07;4.8492
1981-02-08;3.6701
1981-02-09;3.2505
1981-02-10;2.929
1981-02-11;2.6962
1981-02-12;2.5452
1981-02-13;2.773
1981-02-14;28.9274
1981-02-15;7.7908
1981-02-16;3.0881
1981-02-17;2.6962
1981-02-18;2.6203
1981-02-19;2.4709
1981-02-20;2.5452
1981-02-21;4.1988
1981-02-22;13.1865
1981-02-23;14.6243
1981-02-24;19.5161
1981-02-25;9.4528
1981-02-26;6.5725
1981-02-27;4.0196
1981-02-28;2.929
1981-03-01;3.0081
1981-03-02;3.2505
1981-03-03;3.1689
1981-03-04;3.0081
1981-03-05;2.929
1981-03-06;2.8506
1981-03-07;2.929
1981-03-08;6.897
1981-03-09;5.2367
1981-03-10;2.929
1981-03-11;2.6203
1981-03-12;2.5452
1981-03-13;2.5452
1981-03-14;2.3975
1981-03-15;2.3975
1981-03-16;2.3975
1981-03-17;2.3975
1981-03-18;2.3975
1981-03-19;2.4709
1981-03-20;2.3249
1981-03-21;2.2532
1981-03-22;2.1823
1981-03-23;2.1123
1981-03-24;2.1123
1981-03-25;2.1123
1981-03-26;2.1123
1981-03-27;5.7368
1981-03-28;40.2408
1981-03-29;40.4272
1981-03-30;8.6065
