folha,frac_invalida,frac_miolo,colar_px,dif_mediana,dif_p95,classe,doente
MDT_SG-22-Z-A-III-4-NO-B.tif,0.02114,0.0094,0,873.33,70.59,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-NO-C.tif,0.02009,0.00851,0,851.85,52.58,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-NO-D.tif,0.02115,0.00941,0,851.52,48.74,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-NO-E.tif,0.0201,0.00851,0,901.67,67.1,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-NO-F.tif,0.02115,0.00941,0,848.7,73.13,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-SE-A.tif,0.02202,0.01023,0,844.2,89.26,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-SE-B.tif,0.02301,0.01115,0,909.44,62.95,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-SE-C.tif,0.02209,0.01029,0,865.53,83.04,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-SE-D.tif,0.02302,0.01115,0,898.86,58.89,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-SE-E.tif,0.02202,0.01027,0,873.76,940.96,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-SE-F.tif,0.02311,0.01124,0,844.47,947.03,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-SO-A.tif,0.0201,0.00851,0,905.85,50.84,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-SO-B.tif,0.021,0.00934,0,901.93,86.23,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-SO-C.tif,0.02026,0.00861,0,893.14,69.49,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-SO-D.tif,0.02106,0.00938,0,925.38,41.4,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-SO-E.tif,0.02041,0.0087,0,905.18,973.21,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-SO-F.tif,0.02106,0.0094,0,918.67,932.62,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-NE-A.tif,0.01428,0.00359,0,-34.07,146.28,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-NE-B.tif,0.01563,0.00462,0,-12.09,236.0,furada,1
MDT_SG-22-Z-A-V-2-NE-C.tif,0.01428,0.00359,0,-57.23,155.2,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-NE-D.tif,0.01563,0.00462,0,16.52,210.51,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-NE-E.tif,0.01403,0.00349,0,-52.0,153.75,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-NE-F.tif,0.01564,0.00462,0,-34.88,188.51,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-NO-A.tif,0.01216,0.00219,0,116.25,173.68,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-NO-B.tif,0.01341,0.00298,0,-6.15,151.53,furada,1
MDT_SG-22-Z-A-V-2-NO-C.tif,0.01245,0.00231,0,104.01,190.53,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-NO-D.tif,0.01334,0.00297,0,17.85,202.4,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-NO-E.tif,0.01245,0.00231,0,128.13,198.65,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-NO-F.tif,0.01334,0.00297,0,4.05,129.51,furada,1
MDT_SG-22-Z-A-V-2-SE-A.tif,0.01413,0.00357,0,-46.77,103.65,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-SE-B.tif,0.01574,0.00465,0,-49.98,74.35,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-SE-C.tif,0.01421,0.00362,0,-52.52,114.95,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-SE-D.tif,0.01583,0.00473,0,28.42,131.11,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-SE-E.tif,0.01428,0.00363,0,-52.1,130.87,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-SE-F.tif,0.01584,0.00473,0,32.83,180.78,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-SO-A.tif,0.01232,0.00229,0,132.61,177.56,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-SO-B.tif,0.01339,0.00299,0,3.07,114.81,furada,1
MDT_SG-22-Z-A-V-2-SO-C.tif,0.01238,0.0023,0,100.52,174.7,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-SO-D.tif,0.01338,0.00299,0,9.14,141.25,furada,1
MDT_SG-22-Z-A-V-2-SO-E.tif,0.01238,0.0023,0,57.33,216.17,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-SO-F.tif,0.01325,0.00294,0,52.36,196.71,fora_de_nivel,1
MDT_SG-22-Z-A-V-3-NE-A.tif,0.01036,0.00103,0,1127.17,1048.76,fora_de_nivel,1
MDT_SG-22-Z-A-V-3-NE-B.tif,0.01126,0.00152,0,-35.26,301.55,fora_de_nivel,1
MDT_SG-22-Z-A-V-3-NE-C.tif,0.01069,0.00115,0,1180.82,1224.96,fora_de_nivel,1
MDT_SG-22-Z-A-V-3-NE-D.tif,0.01148,0.00162,0,102.05,303.4,fora_de_nivel,1
MDT_SG-22-Z-A-V-3-NE-E.tif,0.01054,0.00108,0,1130.14,1206.2,fora_de_nivel,1
MDT_SG-22-Z-A-V-3-NE-F.tif,0.01136,0.00159,0,76.61,399.4,fora_de_nivel,1
MDT_SG-22-Z-A-V-3-NO-A.tif,0.00825,0.00021,0,1160.09,68.42,fora_de_nivel,1
MDT_SG-22-Z-A-V-3-NO-B.tif,0.00937,0.00061,0,1166.56,59.56,fora_de_nivel,1
MDT_SG-22-Z-A-V-3-NO-C.tif,0.00834,0.00021,0,1226.89,65.47,fora_de_nivel,1
MDT_SG-22-Z-A-V-3-NO-D.tif,0.00925,0.00061,0,1226.86,53.34,fora_de_nivel,1
MDT_SG-22-Z-A-V-3-NO-E.tif,0.00833,0.00023,0,1226.87,148.88,fora_de_nivel,1
MDT_SG-22-Z-A-V-3-NO-F.tif,0.00921,0.00061,0,1145.74,78.41,fora_de_nivel,1
MDT_SG-22-Z-A-V-3-SE-A.tif,0.01052,0.00108,0,1078.02,1170.09,fora_de_nivel,1
MDT_SG-22-Z-A-V-3-SE-B.tif,0.01139,0.00158,0,217.19,314.62,fora_de_nivel,1
MDT_SG-22-Z-A-V-3-SE-C.tif,0.01062,0.00114,0,1022.33,1110.68,fora_de_nivel,1
MDT_SG-22-Z-A-V-3-SE-D.tif,0.01122,0.00155,0,267.31,318.75,fora_de_nivel,1
MDT_SG-22-Z-A-V-3-SE-E.tif,0.0107,0.00114,0,1067.8,1144.66,fora_de_nivel,1
MDT_SG-22-Z-A-V-3-SE-F.tif,0.01122,0.00155,0,197.47,283.04,fora_de_nivel,1
MDT_SG-22-Z-A-V-3-SO-A.tif,0.00819,0.00022,0,1070.02,86.89,fora_de_nivel,1
MDT_SG-22-Z-A-V-3-SO-B.tif,0.00933,0.00061,0,1115.13,80.13,fora_de_nivel,1
MDT_SG-22-Z-A-V-3-SO-C.tif,0.00828,0.00022,0,1007.23,83.18,fora_de_nivel,1
MDT_SG-22-Z-A-V-3-SO-D.tif,0.00959,0.00068,0,1065.81,87.04,fora_de_nivel,1
MDT_SG-22-Z-A-V-3-SO-E.tif,0.00828,0.00022,0,1057.74,83.78,fora_de_nivel,1
MDT_SG-22-Z-A-V-3-SO-F.tif,0.00946,0.00068,0,1131.93,42.13,fora_de_nivel,1
MDT_SG-22-Z-A-V-4-NE-A.tif,0.01446,0.00372,0,6.29,133.02,furada,1
MDT_SG-22-Z-A-V-4-NE-B.tif,0.01584,0.00473,0,11.85,139.58,furada,1
MDT_SG-22-Z-A-V-4-NE-C.tif,0.01421,0.00361,0,95.09,204.86,fora_de_nivel,1
MDT_SG-22-Z-A-V-4-NE-D.tif,0.01613,0.00488,0,-7.99,163.12,furada,1
MDT_SG-22-Z-A-V-4-NE-E.tif,0.01421,0.00361,0,22.9,182.02,fora_de_nivel,1
MDT_SG-22-Z-A-V-4-NE-F.tif,0.01605,0.00486,0,-64.68,143.68,fora_de_nivel,1
MDT_SG-22-Z-A-V-4-NO-A.tif,0.01241,0.0023,0,45.16,257.46,fora_de_nivel,1
MDT_SG-22-Z-A-V-4-NO-B.tif,0.01339,0.00302,0,71.22,209.49,fora_de_nivel,1
MDT_SG-22-Z-A-V-4-NO-C.tif,0.01242,0.00233,0,140.0,306.8,fora_de_nivel,1
MDT_SG-22-Z-A-V-4-NO-D.tif,0.01341,0.00305,0,-8.73,230.77,furada,1
MDT_SG-22-Z-A-V-4-NO-E.tif,0.01238,0.00231,0,151.37,408.96,fora_de_nivel,1
MDT_SG-22-Z-A-V-4-NO-F.tif,0.01353,0.00307,0,-21.56,222.43,fora_de_nivel,1
MDT_SG-22-Z-A-V-4-SE-A.tif,0.01421,0.00361,0,-44.88,161.24,fora_de_nivel,1
MDT_SG-22-Z-A-V-4-SE-B.tif,0.0159,0.00478,0,-27.05,186.23,fora_de_nivel,1
MDT_SG-22-Z-A-V-4-SE-C.tif,0.01452,0.00377,0,-11.03,326.51,furada,1
MDT_SG-22-Z-A-V-4-SE-D.tif,0.0159,0.00478,0,85.12,249.59,fora_de_nivel,1
MDT_SG-22-Z-A-V-4-SE-E.tif,0.0346,0.0232,0,99.02,408.55,fora_de_nivel,1
MDT_SG-22-Z-A-V-4-SE-F.tif,0.01558,0.00465,0,49.71,293.31,fora_de_nivel,1
MDT_SG-22-Z-A-V-4-SO-A.tif,0.01247,0.0024,0,114.27,175.67,fora_de_nivel,1
MDT_SG-22-Z-A-V-4-SO-B.tif,0.01348,0.00306,0,-1.81,156.67,furada,1
MDT_SG-22-Z-A-V-4-SO-C.tif,0.01255,0.00241,0,52.59,172.74,fora_de_nivel,1
MDT_SG-22-Z-A-V-4-SO-D.tif,0.01335,0.00301,0,-37.42,241.61,fora_de_nivel,1
MDT_SG-22-Z-A-V-4-SO-E.tif,0.01262,0.00246,0,109.18,268.65,fora_de_nivel,1
MDT_SG-22-Z-A-V-4-SO-F.tif,0.01341,0.00305,0,-151.82,236.89,fora_de_nivel,1
MDT_SG-22-Z-A-VI-1-NE-A.tif,0.01828,0.00688,0,-16.64,111.07,fora_de_nivel,1
MDT_SG-22-Z-A-VI-1-NE-B.tif,0.01925,0.00775,0,-3.48,59.06,furada,1
MDT_SG-22-Z-A-VI-1-NE-C.tif,0.01846,0.00702,0,-48.85,236.77,fora_de_nivel,1
MDT_SG-22-Z-A-VI-1-NE-D.tif,0.01941,0.00785,0,-28.84,72.64,fora_de_nivel,1
MDT_SG-22-Z-A-VI-1-NE-E.tif,0.01822,0.00687,0,-55.45,301.94,fora_de_nivel,1
MDT_SG-22-Z-A-VI-1-NE-F.tif,0.01931,0.0078,0,-69.02,150.07,fora_de_nivel,1
MDT_SG-22-Z-A-VI-1-NO-A.tif,0.01638,0.00531,0,-41.81,271.72,fora_de_nivel,1
MDT_SG-22-Z-A-VI-1-NO-B.tif,0.0172,0.006,0,-87.12,143.08,fora_de_nivel,1
MDT_SG-22-Z-A-VI-1-NO-C.tif,0.01638,0.00531,0,37.23,254.0,fora_de_nivel,1
MDT_SG-22-Z-A-VI-1-NO-D.tif,0.01713,0.00598,0,-96.24,196.18,fora_de_nivel,1
MDT_SG-22-Z-A-VI-1-NO-E.tif,0.01623,0.00524,0,25.7,198.47,fora_de_nivel,1
MDT_SG-22-Z-A-VI-1-NO-F.tif,0.01741,0.00613,0,-74.62,294.24,fora_de_nivel,1
MDT_SG-22-Z-A-VI-1-SE-A.tif,0.01821,0.00686,0,-86.88,309.64,fora_de_nivel,1
MDT_SG-22-Z-A-VI-1-SE-B.tif,0.01916,0.0077,0,-108.71,294.66,fora_de_nivel,1
MDT_SG-22-Z-A-VI-1-SE-C.tif,0.01833,0.00694,0,10.86,313.2,furada,1
MDT_SG-22-Z-A-VI-1-SE-D.tif,0.01915,0.0077,0,-96.99,334.08,fora_de_nivel,1
