x,y,altura_m,area_m2,classe,nome
730413.2,7024140.1,6.08,114432,?,
710101.2,7006828.1,6.07,256,?,
718613.2,7026588.1,5.94,256,ponte,
702621.2,6997348.1,5.94,1536,?,
729637.2,7020140.1,5.91,2048,?,
586197.2,7009564.1,5.91,1536,?,
701533.2,6996980.1,5.9,2560,?,
723181.2,7027556.1,5.87,82432,?,
703933.2,6999828.1,5.86,640,?,
699933.2,6996364.1,5.86,5696,?,
641949.2,7008460.1,5.85,384,?,
686685.2,7024836.1,5.79,896,?,
730085.2,7021940.1,5.78,13120,?,
700605.2,6995844.1,5.73,5248,?,
671765.2,7022340.1,5.69,1344,?,
622221.2,6981260.1,5.67,1664,?,
620589.2,6980860.1,5.64,1216,?,
597901.2,6998140.1,5.61,98176,?,
648589.2,7005596.1,5.58,512,?,
704069.2,6999940.1,5.56,256,?,
687853.2,7025460.1,5.55,34496,represa,
701805.2,6997452.1,5.5,256,?,
701557.2,6997148.1,5.49,704,?,
638061.2,6969292.1,5.49,320,ponte,
699901.2,6996412.1,5.47,256,?,
671805.2,7030420.1,5.45,13824,ponte,
709541.2,7004636.1,5.45,320,?,
635773.2,6990780.1,5.44,768,?,
692589.2,7020796.1,5.41,256,?,
649333.2,6951236.1,5.4,132864,?,
644885.2,7007100.1,5.38,49792,?,
698629.2,7024060.1,5.37,704,?,
709325.2,7004100.1,5.37,448,?,
708773.2,7003644.1,5.37,384,?,
594277.2,7002564.1,5.37,384,?,
635429.2,7009340.1,5.36,19200,?,
587157.2,7008484.1,5.36,2688,?,
715613.2,7022908.1,5.31,704,?,
729309.2,7020108.1,5.31,5312,?,
701797.2,6997484.1,5.3,1920,?,
654045.2,6940836.1,5.3,1024,?,
696445.2,6996060.1,5.29,4736,?,
594997.2,7002788.1,5.27,1152,?,
654117.2,6940548.1,5.25,448,?,
642069.2,7008396.1,5.24,9920,?,
634557.2,6979364.1,5.24,33088,ponte,
698357.2,7023988.1,5.22,1408,?,
696157.2,6996060.1,5.22,960,?,
729989.2,7019924.1,5.2,5120,?,
687293.2,7025092.1,5.18,832,represa,PCH Salto (Salto Weissbach) - Barragem III
690245.2,7024764.1,5.17,150336,?,
704517.2,7021876.1,5.16,640,?,
637469.2,7013060.1,5.16,1216,?,
710237.2,7006820.1,5.14,512,?,
704725.2,7000532.1,5.13,320,?,
691581.2,7023476.1,5.11,576,?,
