id,ano,data_pico,cota_blumenau_m,chuva_media_bacia_mm,chuva_max_sub_bacia_mm,fonte_dados,arquivo_csv,chuva_oeste_mm,chuva_mirim_doce_mm,chuva_sul_mm,chuva_perimbo_mm,chuva_trombudo_mm,chuva_norte_mm,chuva_benedito_mm,chuva_mirim_mm,chuva_luis_alves_mm,chuva_acu_mm
BLU_19840807,1984,1984-08-07,15.46,260.8,379.96,Estações de Superfície (EPAGRI/CEOPS/ANA) + ERA5-Land,evento_1984_08_07_cota_15_46m.csv,360.01,139.4,370.0,130.2,128.0,310.01,290.03,259.97,239.99,379.96
BLU_19830924,1983,1983-09-24,11.75,50.4,64.0,Reanálise ERA5-Land (Open-Meteo),evento_1983_09_24_cota_11_75m.csv,44.3,50.8,39.4,50.5,42.7,36.0,64.0,62.9,50.5,62.9
BLU_19830709,1983,1983-07-09,15.34,333.3,419.96,Estações de Superfície (EPAGRI/CEOPS/ANA) + ERA5-Land,evento_1983_07_09_cota_15_34m.csv,379.96,326.0,390.01,321.3,316.1,339.96,310.01,280.07,250.05,419.96
BLU_19830520,1983,1983-05-20,12.52,49.2,60.1,Reanálise ERA5-Land (Open-Meteo),evento_1983_05_20_cota_12_52m.csv,44.7,60.1,44.5,60.0,50.0,36.1,54.1,48.5,45.8,48.5
BLU_19830304,1983,1983-03-04,10.6,102.7,136.3,Reanálise ERA5-Land (Open-Meteo),evento_1983_03_04_cota_10_60m.csv,106.5,136.3,108.5,122.4,117.4,86.7,76.9,102.0,68.7,102.0
BLU_19821115,1982,1982-11-15,8.65,110.7,136.9,Reanálise ERA5-Land (Open-Meteo),evento_1982_11_15_cota_8_65m.csv,116.2,116.7,79.0,88.3,105.5,101.7,136.9,117.9,126.9,117.9
BLU_19801222,1980,1980-12-22,13.27,121.2,168.4,Reanálise ERA5-Land (Open-Meteo),evento_1980_12_22_cota_13_27m.csv,111.7,113.9,106.7,107.2,111.5,110.5,168.4,129.9,122.2,129.9
BLU_19800731,1980,1980-07-31,8.4,62.6,94.7,Reanálise ERA5-Land (Open-Meteo),evento_1980_07_31_cota_8_40m.csv,61.2,78.8,85.8,94.7,73.9,56.6,47.4,45.2,36.8,45.2
BLU_19791009,1979,1979-10-09,10.45,34.5,50.7,Reanálise ERA5-Land (Open-Meteo),evento_1979_10_09_cota_10_45m.csv,38.9,42.1,17.7,31.9,25.7,22.7,50.7,40.2,35.3,40.2
BLU_19790510,1979,1979-05-10,9.45,117.5,129.4,Reanálise ERA5-Land (Open-Meteo),evento_1979_05_10_cota_9_45m.csv,127.5,127.5,98.5,116.2,108.6,102.5,129.4,123.6,118.0,123.6
BLU_19781226,1978,1978-12-26,11.5,30.1,41.2,Reanálise ERA5-Land (Open-Meteo),evento_1978_12_26_cota_11_50m.csv,35.7,41.2,19.1,33.1,24.8,21.1,36.3,27.7,34.6,27.7
BLU_19770818,1977,1977-08-18,9.15,105.8,150.1,Reanálise ERA5-Land (Open-Meteo),evento_1977_08_18_cota_9_15m.csv,94.7,128.8,122.3,150.1,134.3,96.6,88.9,83.4,75.1,83.4
BLU_19760529,1976,1976-05-29,10.85,66.8,74.4,Reanálise ERA5-Land (Open-Meteo),evento_1976_05_29_cota_10_85m.csv,74.4,72.8,60.8,66.3,68.4,66.7,61.5,73.6,50.0,73.6
BLU_19760515,1976,1976-05-15,8.3,29.4,51.6,Reanálise ERA5-Land (Open-Meteo),evento_1976_05_15_cota_8_30m.csv,20.5,25.3,14.0,20.8,14.6,8.6,42.4,51.6,44.2,51.6
