rs;x;y;estaca_talvegue;z_lamina_mdt;z_leito_A_LEVANTAR;observacao
48997.95;629273.45;7028484.90;88.00;267.05;256.95;"1983 RS 48930.21 a 75 m; calha levantada 8.87 m"
48847.95;629428.02;7028475.33;88.00;262.80;256.93;"1983 RS 48780.21 a 73 m; calha levantada 9.56 m"
47497.95;630507.48;7027815.38;0.00;262.80;256.79;"1983 RS 47375.60 a 127 m; calha levantada 9.18 m"
45397.95;631062.10;7025839.56;32.00;261.45;256.62;"1983 RS 45637.23 a 241 m; calha levantada 12.35 m"
44347.95;630936.21;7024878.78;0.00;261.45;250.18;"1983 RS 44338.97 a 30 m; calha levantada 9.37 m"
44197.95;631028.56;7024749.46;88.00;255.32;248.98;"1983 RS 44188.97 a 30 m; calha levantada 12.24 m"
44047.95;631181.97;7024721.60;68.00;251.05;248.48;"1983 RS 44038.97 a 12 m; calha levantada 7.88 m"
43297.95;631920.53;7024656.77;60.00;249.10;248.41;"1983 RS 43312.57 a 17 m; calha levantada 8.59 m"
41197.95;633081.18;7023733.65;56.00;249.20;248.23;"1983 RS 41519.43 a 319 m; calha levantada 9.85 m"
39097.95;633337.44;7021922.97;108.00;248.31;248.03;"1983 RS 39519.43 a 425 m; calha levantada 8.70 m"
36997.95;634773.97;7020612.44;76.00;247.64;245.48;"1983 RS 36519.43 a 475 m; calha levantada 8.02 m"
34897.95;635410.36;7018671.10;56.00;244.32;244.48;"1983 RS 34519.43 a 378 m; calha levantada 8.05 m"
32797.95;635301.86;7016823.63;48.00;244.32;243.88;"1983 RS 32519.43 a 276 m; calha levantada 8.40 m"
30697.95;637246.00;7016261.27;72.00;244.32;243.68;"1983 RS 30519.43 a 179 m; calha levantada 7.75 m"
28597.95;637992.57;7014695.15;56.00;242.57;243.48;"1983 RS 28519.43 a 87 m; calha levantada 8.24 m"
26497.95;637478.10;7013017.05;96.00;242.57;243.28;"1983 RS 26519.43 a 42 m; calha levantada 8.79 m"
24397.95;638772.64;7011664.58;16.00;242.57;242.48;"1983 RS 24519.43 a 129 m; calha levantada 7.81 m"
22297.95;639498.18;7009766.47;88.00;242.57;241.88;"1983 RS 22519.43 a 220 m; calha levantada 8.57 m"
20197.95;639811.45;7007782.39;56.00;242.57;241.48;"1983 RS 20519.43 a 459 m; calha levantada 8.42 m"
18097.95;640388.04;7008817.62;72.00;239.14;227.97;"1983 RS 17768.13 a 331 m; calha levantada 10.36 m"
15997.95;641075.69;7009703.34;0.00;236.66;213.02;"1983 RS 15899.55 a 109 m; calha levantada 8.15 m"
15397.95;641244.49;7009123.36;64.00;236.45;;rebaixamento implausivel (27 m > 25 numa calha de ~11) -- MDT vale aqui
15247.95;641359.00;7009017.60;132.00;223.32;;legado sintetico em RS 15300 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
14347.95;641993.58;7008486.30;96.00;221.95;200.48;"1983 RS 14332.64 a 31 m; calha levantada 10.02 m"
14197.95;642139.47;7008419.78;92.00;209.23;200.48;"1983 RS 14332.64 a 139 m; calha levantada 10.02 m"
13897.95;642443.79;7008473.33;20.00;209.01;197.08;"1983 RS 13907.05 a 41 m; calha levantada 21.60 m"
11797.95;643090.51;7010186.53;72.00;191.73;188.48;"1983 RS 11770.01 a 30 m; calha levantada 16.95 m"
9697.95;644300.55;7009367.43;88.00;183.03;175.68;"1983 RS 9663.66 a 42 m; calha levantada 10.43 m"
8647.95;644212.08;7008377.79;0.00;182.13;168.98;"1983 RS 8613.66 a 56 m; calha levantada 9.38 m"
8497.95;644224.08;7008222.74;28.00;172.86;167.98;"1983 RS 8463.66 a 48 m; calha levantada 14.90 m"
7597.95;644179.04;7007383.92;96.00;169.43;161.48;"1983 RS 7563.66 a 41 m; calha levantada 8.73 m"
5497.95;645586.31;7006138.91;0.00;155.22;147.98;"1983 RS 5463.66 a 47 m; calha levantada 10.38 m"
3397.95;647494.44;7006382.25;112.00;142.48;137.48;"1983 RS 3425.60 a 42 m; calha levantada 7.88 m"
2797.95;648029.44;7006319.36;64.00;142.56;133.98;"1983 RS 2676.08 a 118 m; calha levantada 9.07 m"
2647.95;648157.71;7006263.17;72.00;137.37;133.98;"1983 RS 2676.08 a 30 m; calha levantada 9.07 m"
1297.95;648718.10;7005049.51;40.00;131.55;127.48;"1983 RS 1271.03 a 52 m; calha levantada 8.33 m"
0.00;649241.12;7003968.06;0.00;130.89;120.98;"1983 RS 75.00 a 87 m; calha levantada 7.74 m"
