Codigo;Nome;RioNome;nmMunicipio;nmEstado;AreaDrenagem;TipoEstacaoEscala;TipoEstacaoRegistradorNivel;TipoEstacaoDescLiquida;TipoEstacaoSedimentos;TipoEstacaoQualAgua;TipoEstacaoTelemetrica;PeriodoEscalaInicio;PeriodoEscalaFim;PeriodoDescLiquidaInicio;PeriodoDescLiquidaFim;ResponsavelSigla;OperadoraSigla;Latitude;Longitude
83350000;JOSÉ BOITEUX;RIO ITAJAÍ DO NORTE OU HERCÍLIO;JOSÉ BOITEUX;SANTA CATARINA;2490;1;0;0;0;0;0;1966-11-01 00:00:00;;;;CEESC;CEESC;-26.95;-49.6333
83360000;JOSÉ BOITEUX;RIO ITAJAÍ DO NORTE OU HERCÍLIO;JOSÉ BOITEUX;SANTA CATARINA;2480;0;0;1;0;1;1;2012-08-01 00:00:00;2021-12-01 00:00:00;2017-08-01 00:00:00;;ANA;EPAGRI-SC;-26.9556;-49.6331
83370000;CGH MAFRÁS JOSÉ BOITEUX;RIO ITAJAÍ DO NORTE OU HERCÍLIO;JOSÉ BOITEUX;SANTA CATARINA;2512;0;0;0;0;0;0;2012-03-01 00:00:00;2021-02-01 00:00:00;2012-03-01 00:00:00;2021-02-01 00:00:00;MAFRAS;MAFRAS;-26.9889;-49.6169
83380000;CGH MAFRÁS MONTANTE;RIO ITAJAÍ DO NORTE OU HERCÍLIO;IBIRAMA;SANTA CATARINA;3176;1;0;1;1;0;1;2012-03-01 00:00:00;;2012-03-01 00:00:00;;MAFRAS;MAFRAS;-27.0322;-49.5869
83380010;IBIRAMA;RIO ITAJAÍ DO NORTE OU HERCÍLIO;IBIRAMA;SANTA CATARINA;;0;0;0;0;1;0;;;;;SDE-SC;SDE-SC;-27.0483;-49.5869
83390000;DALBERGIA;RIO ITAJAÍ DO NORTE OU HERCÍLIO;IBIRAMA;SANTA CATARINA;3170;0;0;0;0;0;0;2005-03-01 00:00:00;2012-12-01 00:00:00;2005-03-01 00:00:00;2012-12-01 00:00:00;MAFRAS;MAFRAS;-27.0275;-49.5803
83421000;NOVA BREMEN;RIO ITAJAÍ DO NORTE OU HERCÍLIO;IBIRAMA;SANTA CATARINA;2560;0;0;0;0;0;0;1928-11-01 00:00:00;1967-08-01 00:00:00;;;ANA;ANA;-27.0167;-49.6
83429000;PCH IBIRAMA MONTANTE;RIO ITAJAÍ DO NORTE OU HERCÍLIO;IBIRAMA;SANTA CATARINA;3173;0;0;0;0;0;0;2013-07-01 00:00:00;2019-04-01 00:00:00;2013-07-01 00:00:00;2019-04-01 00:00:00;IBIRAMA;IBIRAMA;-27.0344;-49.5681
83430000;PCH IBIRAMA BARRAMENTO;RIO ITAJAÍ DO NORTE OU HERCÍLIO;IBIRAMA;SANTA CATARINA;3173.38;1;0;1;0;1;1;2013-06-01 00:00:00;;2013-06-01 00:00:00;;IBIRAMA;IBIRAMA;-27.0375;-49.5686
83440000;IBIRAMA;RIO ITAJAÍ DO NORTE OU HERCÍLIO;IBIRAMA;SANTA CATARINA;3330;0;0;1;1;1;1;1928-12-01 00:00:00;2021-12-01 00:00:00;1928-12-01 00:00:00;;ANA;EPAGRI-SC;-27.0539;-49.5167
83441000;PCH SALTO RIO ITAJAÍ DO NORTE;RIO ITAJAÍ DO NORTE OU HERCÍLIO;IBIRAMA;SANTA CATARINA;3314;1;0;1;1;0;1;2002-04-01 00:00:00;;2002-04-01 00:00:00;;CELESC;CELESC;-27.0536;-49.5164
83448000;IBIRAMA;RIO ITAJAÍ DO NORTE OU HERCÍLIO;IBIRAMA;SANTA CATARINA;;0;0;0;0;1;0;;;;;SDE-SC;SDE-SC;-27.0781;-49.4975
83458000;UHE SALTO PILÃO BARRAMENTO;RIO ITAJAÍ-AÇU;LONTRAS;SANTA CATARINA;;1;0;1;0;0;1;2009-01-01 00:00:00;;2020-08-01 00:00:00;;CONS.CESAP;CONS.CESAP;-27.1372;-49.5189
83461000;UHE SALTO PILÃO JUSANTE;RIO ITAJAÍ-AÇU;APIÚNA;SANTA CATARINA;8920;1;0;1;1;0;1;2009-01-01 00:00:00;;2009-03-01 00:00:00;;CONS.CESAP;CONS.CESAP;-27.0969;-49.4658
83470000;SALTO PILÃO - SUBIDA;RIO ITAJAÍ-AÇU;APIÚNA;SANTA CATARINA;9010;0;0;0;0;0;0;1929-05-01 00:00:00;1943-06-01 00:00:00;;;ANA;ANA;-27.0833;-49.45
83500000;APIÚNA - RÉGUA NOVA;RIO ITAJAÍ-AÇU;APIÚNA;SANTA CATARINA;9070;1;0;1;1;1;1;1995-10-01 00:00:00;;1997-07-01 00:00:00;;ANA;EPAGRI-SC;-27.0375;-49.3919
83500002;APIÚNA;RIO ITAJAÍ-AÇU;APIÚNA;SANTA CATARINA;9070;0;0;0;0;0;0;1927-10-01 00:00:00;1997-01-01 00:00:00;1927-10-01 00:00:00;1997-10-01 00:00:00;ANA;ANA;-27.0375;-49.3919
83520000;WARNOW;RIO ITAJAÍ-AÇU;INDAIAL;SANTA CATARINA;9790;1;0;1;0;1;0;1927-10-01 00:00:00;;1981-05-01 00:00:00;;ANA;EPAGRI-SC;-26.9417;-49.2897
83520010;WARNOW;RIO ITAJAÍ-AÇU;INDAIAL;SANTA CATARINA;;0;0;0;0;1;0;;;;;SDE-SC;SDE-SC;-26.9419;-49.29
83570000;PCH SALTO DONNER I DOUTOR PEDRINHO CENTRO;RIO BENEDITO;DOUTOR PEDRINHO;SANTA CATARINA;304;1;0;1;1;0;1;2012-12-01 00:00:00;;2012-12-01 00:00:00;;CERSAD;CERSAD;-26.715;-49.4853
83590000;PCH SALTO DONNER I BARRAMENTO;RIO BENEDITO;DOUTOR PEDRINHO;SANTA CATARINA;373;1;0;0;0;0;1;2012-12-01 00:00:00;;;;CERSAD;CERSAD;-26.7567;-49.4567
83600000;PCH SALTO DONNER II BARRAMENTO;RIO BENEDITO;DOUTOR PEDRINHO;SANTA CATARINA;374;1;0;0;0;0;1;1975-01-01 00:00:00;;;;CERSAD;CERSAD;-26.7572;-49.4547
83600500;PCH SALTO DONNER II JUSANTE;RIO BENEDITO;BENEDITO NOVO;SANTA CATARINA;384;1;0;1;1;0;1;2012-12-01 00:00:00;;2013-02-01 00:00:00;;CERSAD;CERSAD;-26.7631;-49.4411
83601000;PCH ALTO BENEDITO NOVO I JUSANTE;RIO BENEDITO;BENEDITO NOVO;SANTA CATARINA;486;1;0;1;1;0;1;2013-02-01 00:00:00;;2013-02-01 00:00:00;;CEESAM;CEESAM;-26.7839;-49.4181
83610000;CGH ALTO BENEDITO NOVO JUSANTE;RIO BENEDITO;BENEDITO NOVO;SANTA CATARINA;588;0;0;0;0;0;0;2013-05-01 00:00:00;2023-11-01 00:00:00;2013-05-01 00:00:00;2023-11-01 00:00:00;COOP.STA. MARIA;COOP.STA. MARIA;-26.7819;-49.3972
83610400;PCH ALTO BENEDITO II BARRAMENTO;RIO BENEDITO;BENEDITO NOVO;SANTA CATARINA;575;1;0;0;0;0;1;2017-06-01 00:00:00;;;;SENS;SENS;-26.7836;-49.4169
83610450;CGH ALTO BEN. NOVO/PCH ÁGUA DA SERRA  MONTANTE;RIO BENEDITO;BENEDITO NOVO;SANTA CATARINA;575;1;0;1;1;0;1;2013-11-01 00:00:00;;2013-11-01 00:00:00;;SERRA;SERRA;-26.7781;-49.4117
83610500;PCH ALTO BENEDITO II JUSANTE;RIO BENEDITO;BENEDITO NOVO;SANTA CATARINA;575;1;0;1;1;0;1;2017-12-01 00:00:00;;2018-03-01 00:00:00;;SENS;SENS;-26.7758;-49.3719
83660000;BENEDITO NOVO;RIO BENEDITO;BENEDITO NOVO;SANTA CATARINA;717;1;0;1;0;1;0;1929-05-01 00:00:00;;1929-05-01 00:00:00;;ANA;EPAGRI-SC;-26.7875;-49.3642
83662000;PCH RODEIO MONTANTE;RIO BENEDITO;BENEDITO NOVO;SANTA CATARINA;97;1;0;1;1;0;1;2024-10-01 00:00:00;;2024-10-01 00:00:00;;RODEIO;RODEIO;-26.8047;-49.3567
83664000;TIMBÓ;RIO BENEDITO;TIMBÓ;SANTA CATARINA;1630;0;0;0;0;0;0;1800-01-01 00:00:00;2005-06-01 00:00:00;;;CELESC;CELESC;-26.8333;-49.2675
83666000;UHE PALMEIRAS;RIO DOS CEDROS;RIO DOS CEDROS;SANTA CATARINA;140;0;0;0;0;0;0;1963-01-01 00:00:00;2012-12-01 00:00:00;;;CELESC;CELESC;-26.6489;-49.3383
83668000;PINHAL;RIO DOS CEDROS;RIO DOS CEDROS;SANTA CATARINA;111;0;0;0;0;0;0;1800-01-01 00:00:00;2005-08-01 00:00:00;;;CELESC;CELESC;-26.5983;-49.4625
83669000;PCH CEDROS BARRAMENTO PINHAL;RIO DOS CEDROS;RIO DOS CEDROS;SANTA CATARINA;183;1;0;0;0;0;1;2002-05-01 00:00:00;;;;CELESC;CELESC;-26.615;-49.4056
83670000;PCH CEDROS;RIO DOS CEDROS;RIO DOS CEDROS;SANTA CATARINA;217;0;0;0;0;0;0;1949-01-01 00:00:00;2012-12-01 00:00:00;;;CELESC;CELESC;-26.6444;-49.3564
83671000;PCH CEDROS JUSANTE DESATIVADA;RIO DOS CEDROS;RIO DOS CEDROS;SANTA CATARINA;213;0;0;0;0;0;0;2002-05-01 00:00:00;2023-02-01 00:00:00;2002-10-01 00:00:00;2023-02-01 00:00:00;CELESC;CELESC;-26.6539;-49.3497
83674980;PCH CEDROS JUSANTE;RIO DOS CEDROS;RIO DOS CEDROS;SANTA CATARINA;326;1;0;1;1;0;1;2023-01-01 00:00:00;;2023-01-01 00:00:00;;CELESC;CELESC;-26.74;-49.2728
83675000;ARROZEIRA;RIO DOS CEDROS;RIO DOS CEDROS;SANTA CATARINA;536;1;0;1;0;1;0;1929-04-01 00:00:00;;1929-04-01 00:00:00;;ANA;EPAGRI-SC;-26.7414;-49.2711
83677000;TIMBÓ NOVO;RIO BENEDITO;TIMBÓ;SANTA CATARINA;1600;1;0;1;1;1;1;1989-09-01 00:00:00;;1989-09-01 00:00:00;;ANA;EPAGRI-SC;-26.8297;-49.2719
83677001;TIMBÓ NOVO;RIO BENEDITO;TIMBÓ;SANTA CATARINA;1600;0;0;0;0;1;0;;;;;SDE-SC;SDE-SC;-26.8297;-49.2719
83680000;TIMBÓ;RIO BENEDITO;TIMBÓ;SANTA CATARINA;1600;0;0;0;0;0;0;1929-01-01 00:00:00;1989-08-01 00:00:00;1929-01-01 00:00:00;1989-08-01 00:00:00;ANA;ANA;-26.8297;-49.2719
83690000;INDAIAL;RIO ITAJAÍ-AÇU;INDAIAL;SANTA CATARINA;9850;0;0;0;0;0;0;1929-01-01 00:00:00;2021-12-01 00:00:00;1929-01-01 00:00:00;2021-12-01 00:00:00;ANA;EPAGRI-SC;-26.8911;-49.235
83700000;PASSO MANSO;RIO ITAJAÍ-AÇU;BLUMENAU;SANTA CATARINA;11700;0;0;0;0;0;0;1927-10-01 00:00:00;1967-08-01 00:00:00;;;ANA;ANA;-26.8917;-49.14
83700002;BLUMENAU;RIO ITAJAÍ-AÇU;BLUMENAU;SANTA CATARINA;;0;0;0;0;1;0;;;;;SDE-SC;SDE-SC;-26.8925;-49.1389
83720000;RIO DO TESTO;RIO DO TESTO;POMERODE;SANTA CATARINA;129;0;0;0;0;0;0;1929-05-01 00:00:00;1967-08-01 00:00:00;1934-11-01 00:00:00;1966-08-01 00:00:00;ANA;ANA;-26.7333;-49.1756
83740000;PCH SALTO BARRAMENTO;RIO ITAJAÍ-AÇU;BLUMENAU;SANTA CATARINA;11700;1;0;0;0;0;1;2016-03-01 00:00:00;;;;CELESC;CELESC;-26.88;-49.1089
83750000;PCH SALTO JUSANTE DESATIVADA;RIO ITAJAÍ-AÇU;BLUMENAU;SANTA CATARINA;11700;0;0;0;0;0;0;2002-04-01 00:00:00;2025-02-01 00:00:00;2003-11-01 00:00:00;2025-02-01 00:00:00;CELESC;CELESC;-26.8808;-49.1014
83780000;ITOUPAVA SECA;RIO ITAJAÍ-AÇU;BLUMENAU;SANTA CATARINA;12100;0;0;0;0;0;0;1928-04-01 00:00:00;1954-12-01 00:00:00;1934-11-01 00:00:00;1949-02-01 00:00:00;ANA;ANA;-26.8842;-49.0858
83800000;PCH SALTO BLUMENAU;RIO ITAJAÍ-AÇU;BLUMENAU;SANTA CATARINA;12000;0;0;0;0;0;0;1918-01-01 00:00:00;2014-04-01 00:00:00;;;CELESC;CELESC;-26.8786;-49.0889
83800002;BLUMENAU (PCD);RIO ITAJAÍ-AÇU;BLUMENAU;SANTA CATARINA;11803;0;0;1;1;1;1;1939-05-01 00:00:00;2021-12-01 00:00:00;1939-05-01 00:00:00;;ANA;EPAGRI-SC;-26.9186;-49.0656
83800003;BLUMENAU  (PCD);RIO ITAJAÍ-AÇU;BLUMENAU;SANTA CATARINA;11803;0;0;0;0;1;0;;;;;SDE-SC;SDE-SC;-26.9186;-49.0656
83800010;PCH SALTO JUSANTE;RIO ITAJAÍ-AÇU;BLUMENAU;SANTA CATARINA;11925;1;0;1;1;0;1;2025-05-01 00:00:00;;2025-05-01 00:00:00;;CELESC;CELESC;-26.9175;-49.0661
83840000;GASPAR (MONTANTE ETA);RIO ITAJAÍ-AÇU;GASPAR;SANTA CATARINA;12141;0;0;0;0;0;0;1927-10-01 00:00:00;2021-12-01 00:00:00;1927-10-01 00:00:00;2021-12-01 00:00:00;ANA;EPAGRI-SC;-26.9264;-48.9642
83859998;ILHOTA - MONTANTE;RIO ITAJAÍ-AÇU;ILHOTA;SANTA CATARINA;12700;0;0;0;0;0;0;1987-12-01 00:00:00;1990-01-01 00:00:00;1987-12-01 00:00:00;1990-01-01 00:00:00;ANA;ANA;-26.9256;-48.8369
83860000;ILHOTA;RIO ITAJAÍ-AÇU;ILHOTA;SANTA CATARINA;12700;0;0;0;0;0;0;1927-10-01 00:00:00;1987-12-01 00:00:00;1927-10-01 00:00:00;1987-12-01 00:00:00;ANA;ANA;-26.9061;-48.8481
83870000;ILHOTA-JUSANTE;RIO ITAJAÍ-AÇU;ILHOTA;SANTA CATARINA;12357;0;0;0;0;0;0;1987-12-01 00:00:00;2007-10-01 00:00:00;1987-12-01 00:00:00;2011-12-01 00:00:00;ANA;ANA;-26.9025;-48.8325
83870001;ILHOTA-JUSANTE;RIO ITAJAÍ-AÇU;ILHOTA;SANTA CATARINA;12357;0;0;0;0;1;0;;;;;SDE-SC;SDE-SC;-26.9025;-48.8325
83880000;LUIZ ALVES;RIO LUIZ ALVES;LUIZ ALVES;SANTA CATARINA;104;1;0;1;0;1;1;1929-04-01 00:00:00;;1929-04-01 00:00:00;;ANA;EPAGRI-SC;-26.7239;-48.9311
83892990;SALSEIRO;RIO ITAJAÍ-MIRIM;VIDAL RAMOS;SANTA CATARINA;286;1;0;1;0;1;1;1987-11-01 00:00:00;;1987-11-01 00:00:00;;ANA;EPAGRI-SC;-27.33;-49.33
83892998;BOTUVERA-MONTANTE;RIO ITAJAÍ-MIRIM;BOTUVERÁ;SANTA CATARINA;827;1;0;1;0;1;0;1985-05-01 00:00:00;;1985-05-01 00:00:00;;ANA;EPAGRI-SC;-27.1972;-49.0878
83893000;BOTUVERA;RIO ITAJAÍ-MIRIM;BOTUVERÁ;SANTA CATARINA;836;0;0;0;0;0;0;1978-01-01 00:00:00;1992-09-01 00:00:00;1978-01-01 00:00:00;1992-09-01 00:00:00;ANA;ANA;-27.1908;-49.0653
83900000;BRUSQUE (PCD);RIO ITAJAÍ-MIRIM;BRUSQUE;SANTA CATARINA;1240;1;0;1;1;1;1;1929-06-01 00:00:00;;1929-06-01 00:00:00;;ANA;EPAGRI-SC;-27.1006;-48.9167
83905000;BRUSQUE;RIO ITAJAÍ-MIRIM;BRUSQUE;SANTA CATARINA;;0;0;0;0;1;0;;;;;SDE-SC;SDE-SC;-27.0331;-48.8611
83920000;PORTO ITAJAÍ;RIO ITAJAÍ-AÇU;ITAJAÍ;SANTA CATARINA;15200;0;0;0;0;0;0;1927-09-01 00:00:00;1937-11-01 00:00:00;;;CHM;CHM;-26.9167;-48.65
84850000;MELEIRO;RIO MANOEL ALVES;MELEIRO;SANTA CATARINA;343;0;0;0;0;0;0;1942-05-01 00:00:00;1950-11-01 00:00:00;1942-05-01 00:00:00;1950-11-01 00:00:00;ANA;ANA;-28.8325;-49.6361
84850500;MELEIRO;RIO MANOEL ALVES;MELEIRO;SANTA CATARINA;;0;0;0;0;1;0;;;;;SDE-SC;SDE-SC;-28.8342;-49.6225
84851000;ETA CASAN - MELEIRO;RIO MANOEL ALVES;FORQUILHINHA;SANTA CATARINA;792;0;0;0;0;0;0;2004-01-01 00:00:00;2005-01-01 00:00:00;2004-01-01 00:00:00;2005-01-01 00:00:00;CASAN;EPAGRI-SC;-28.8347;-49.485
84853000;FOZ DO MANUEL ALVES;RIO MANOEL ALVES;MELEIRO;SANTA CATARINA;355;0;0;1;0;1;1;1977-10-01 00:00:00;2021-12-01 00:00:00;1977-10-01 00:00:00;;ANA;EPAGRI-SC;-28.8536;-49.5897
84853001;FOZ DO MANUEL ALVES;RIO MANOEL ALVES;MELEIRO;SANTA CATARINA;355;0;0;0;0;1;0;;;;;SDE-SC;SDE-SC;-28.8536;-49.5897
