rs;x;y;estaca_talvegue;z_lamina_mdt;z_leito_A_LEVANTAR;observacao
50757.63;697387.05;6996132.36;160.00;24.50;15.02;"1983 RS 50512.28 a 1179 m; calha levantada 6.81 m"
48007.63;699663.56;6996403.83;84.00;21.70;;sem secao levantada (RS mais proximo a 399 m, centro a 1274 m)
46007.63;701197.29;6996326.43;128.00;17.99;;sem secao levantada (RS mais proximo a 264 m, centro a 1253 m)
44007.63;702357.69;6997598.32;92.00;15.92;7.52;"1983 RS 43779.77 a 1123 m; calha levantada 7.30 m"
41757.63;703808.34;6997580.98;304.00;12.39;6.02;"1983 RS 41783.36 a 872 m; calha levantada 6.84 m"
39757.63;704498.63;6999211.95;144.00;12.41;5.02;"1983 RS 39783.36 a 736 m; calha levantada 6.84 m"
37507.63;704707.19;7000478.72;204.00;12.15;3.98;"1983 RS 37637.58 a 782 m; calha levantada 7.63 m"
34757.63;707009.43;7000862.47;272.00;9.17;1.52;"1983 RS 34338.58 a 1115 m; calha levantada 8.22 m"
32757.63;707342.84;7002456.32;420.00;8.47;;sem secao levantada (RS mais proximo a 419 m, centro a 1284 m)
30757.63;708791.58;7003638.04;376.00;5.90;;sem secao levantada (RS mais proximo a 419 m, centro a 1380 m)
28507.63;709947.57;7005488.53;392.00;4.11;-2.48;"1983 RS 28338.58 a 1093 m; calha levantada 6.96 m"
26007.63;711102.94;7007173.91;308.00;3.48;-3.08;"1983 RS 26338.58 a 663 m; calha levantada 6.96 m"
24007.63;712651.06;7008253.83;404.00;3.45;-3.98;"1983 RS 24338.58 a 664 m; calha levantada 7.10 m"
22007.63;713695.90;7009857.33;380.00;2.36;-4.98;"1983 RS 22338.58 a 658 m; calha levantada 7.15 m"
21257.63;715019.05;7010452.70;715.89;-5.48;-5.48;"1983 RS 21338.58 a 21 m; calha levantada 7.18 m"
19257.63;715981.28;7012042.47;721.16;-5.68;-5.68;"1983 RS 19338.58 a 16 m; calha levantada 7.00 m"
17257.63;717005.98;7013747.98;652.73;-6.48;-6.48;"1983 RS 17338.58 a 84 m; calha levantada 7.84 m"
14757.63;717999.26;7014961.05;718.53;-7.49;;sem secao levantada (RS mais proximo a 419 m, centro a 1399 m)
12257.63;720665.56;7016651.74;726.42;-8.58;-8.58;"1983 RS 12338.58 a 11 m; calha levantada 6.96 m"
10257.63;722183.50;7017884.97;721.16;-8.78;-8.78;"1983 RS 10338.58 a 16 m; calha levantada 7.01 m"
8257.63;723396.71;7019310.46;726.42;-8.98;-8.98;"1983 RS 8338.58 a 11 m; calha levantada 5.58 m"
6257.63;725091.03;7020361.66;726.42;-9.18;-9.18;"1983 RS 6338.58 a 11 m; calha levantada 6.73 m"
4257.63;726756.31;7021469.59;700.10;-9.38;-9.38;"1983 RS 4338.58 a 37 m; calha levantada 7.20 m"
2257.63;728439.77;7022549.49;705.37;-9.58;-9.58;"1983 RS 2338.58 a 32 m; calha levantada 6.89 m"
1257.63;729283.00;7023087.07;710.63;-9.68;-9.68;"1983 RS 1338.58 a 26 m; calha levantada 6.87 m"
7.63;729563.83;7023270.19;372.00;0.05;-9.81;"1983 RS 75.00 a 906 m; calha levantada 6.91 m"
