rs;x;y;estaca_talvegue;z_lamina_mdt;z_leito_A_LEVANTAR;observacao
124250.51;659304.10;7006238.60;132.00;81.01;75.82;"1983 RS 124048.30 a 217 m; calha levantada 9.32 m"
121750.51;659149.83;7008440.13;132.00;77.53;74.25;"1983 RS 122061.31 a 307 m; calha levantada 13.18 m"
119250.51;660970.38;7009959.33;220.00;77.05;72.15;"1983 RS 119061.31 a 189 m; calha levantada 11.48 m"
117250.51;660935.32;7011450.11;140.00;74.75;70.08;"1983 RS 117061.31 a 212 m; calha levantada 11.81 m"
114750.51;660292.61;7013821.29;80.00;71.96;68.52;"1983 RS 115061.31 a 335 m; calha levantada 9.69 m"
112750.51;661749.66;7015152.21;212.00;72.01;66.45;"1983 RS 113061.31 a 315 m; calha levantada 10.34 m"
110500.51;661542.90;7017312.20;276.00;71.06;63.86;"1983 RS 110061.31 a 462 m; calha levantada 15.93 m"
108000.51;663563.24;7017141.17;300.00;67.92;63.30;"1983 RS 108061.31 a 62 m; calha levantada 9.83 m"
105250.51;665990.21;7016399.64;324.00;67.18;62.14;"1983 RS 105061.31 a 203 m; calha levantada 8.79 m"
103000.51;666445.84;7017390.85;392.00;66.44;61.15;"1983 RS 103061.31 a 386 m; calha levantada 9.36 m"
101000.51;667829.13;7017493.32;344.00;66.37;60.09;"1983 RS 101061.31 a 80 m; calha levantada 10.20 m"
98750.51;669687.95;7018152.01;332.00;63.28;59.54;"1983 RS 99061.31 a 298 m; calha levantada 10.29 m"
96750.51;670442.99;7019869.82;404.00;62.76;58.91;"1983 RS 97061.31 a 309 m; calha levantada 11.45 m"
94500.51;671067.88;7022060.19;252.00;61.69;58.61;"1983 RS 94061.31 a 477 m; calha levantada 9.13 m"
92000.51;673181.91;7023029.82;316.00;60.87;56.78;"1983 RS 92137.58 a 137 m; calha levantada 9.51 m"
90000.51;674755.69;7024018.07;252.00;54.45;47.29;"1983 RS 89834.20 a 216 m; calha levantada 16.75 m"
88000.51;676468.94;7025041.69;372.00;50.73;44.24;"1983 RS 87834.20 a 169 m; calha levantada 11.00 m"
87750.51;676637.63;7025226.96;388.00;50.29;44.24;"1983 RS 87834.20 a 85 m; calha levantada 11.00 m"
86750.51;677480.74;7025135.94;308.00;44.68;38.38;"1983 RS 87000.85 a 252 m; calha levantada 10.30 m"
86000.51;678149.24;7024889.57;276.00;40.38;30.59;"1983 RS 86027.13 a 27 m; calha levantada 10.41 m"
84000.51;679887.47;7025010.68;100.00;27.97;18.65;"1983 RS 84188.57 a 190 m; calha levantada 16.23 m"
81250.51;682159.33;7025144.23;240.00;22.84;17.44;"1983 RS 81644.90 a 395 m; calha levantada 9.76 m"
79250.51;683547.63;7023737.64;252.00;22.78;16.54;"1983 RS 79644.90 a 412 m; calha levantada 11.51 m"
76750.51;685881.31;7024368.84;72.00;17.23;12.97;"1983 RS 76693.27 a 75 m; calha levantada 9.79 m"
74500.51;687577.97;7025509.20;136.00;12.19;2.92;"1983 RS 74438.16 a 62 m; calha levantada 9.69 m"
72500.51;689174.91;7025881.20;116.00;2.94;-2.12;"1983 RS 72500.35 a 72 m; calha levantada 11.18 m"
71500.51;690006.56;7025340.29;1541.62;-2.65;-2.65;"1983 RS 71534.33 a 145 m; calha levantada 10.03 m"
70500.51;690370.14;7024441.63;1585.40;-2.75;-2.75;"1983 RS 70534.33 a 109 m; calha levantada 11.44 m"
68500.51;691828.46;7023551.71;1661.66;-2.95;-2.95;"1983 RS 68534.33 a 449 m; calha levantada 9.99 m"
66500.51;692033.67;7022715.17;1401.97;-3.76;-3.76;"1983 RS 66534.33 a 156 m; calha levantada 10.66 m"
64500.51;692348.19;7020997.33;1730.08;-4.38;-4.38;"1983 RS 64534.33 a 12 m; calha levantada 16.30 m"
62500.51;693710.16;7022024.42;1670.38;-4.58;-4.58;"1983 RS 62534.33 a 88 m; calha levantada 13.47 m"
60500.51;694440.97;7023698.48;1621.88;-4.78;-4.78;"1983 RS 60534.33 a 152 m; calha levantada 23.12 m"
58500.51;695900.78;7022258.16;1763.87;-5.01;-5.01;"1983 RS 58534.33 a 26 m; calha levantada 12.66 m"
56500.51;697108.11;7023566.11;1662.99;-5.21;-5.21;"1983 RS 56534.33 a 142 m; calha levantada 10.34 m"
54500.51;699086.82;7024094.30;1729.03;-5.41;-5.41;"1983 RS 54534.33 a 91 m; calha levantada 10.56 m"
52500.51;700034.36;7022524.03;1664.73;-5.61;-5.61;"1983 RS 52534.33 a 170 m; calha levantada 10.79 m"
50500.51;701271.13;7021005.85;1823.69;-5.81;-5.81;"1983 RS 50534.33 a 26 m; calha levantada 10.91 m"
48500.51;702890.49;7020000.22;1851.67;-6.01;-6.01;"1983 RS 48534.33 a 13 m; calha levantada 11.32 m"
46500.51;704114.57;7021582.84;1732.04;-6.21;-6.21;"1983 RS 46534.33 a 148 m; calha levantada 10.27 m"
44500.51;706054.83;7021972.96;1880.84;-6.41;-6.41;"1983 RS 44534.33 a 14 m; calha levantada 11.62 m"
42500.51;707973.85;7021562.98;1895.25;-6.61;-6.61;"1983 RS 42534.33 a 14 m; calha levantada 10.48 m"
40500.51;709405.48;7020166.23;1923.30;-6.81;-6.81;"1983 RS 40534.33 a 0 m; calha levantada 11.96 m"
38500.51;710959.44;7021253.37;1785.36;-7.01;-7.01;"1983 RS 38534.33 a 152 m; calha levantada 10.63 m"
36500.51;712823.77;7021919.84;1784.50;-7.21;-7.21;"1983 RS 36534.33 a 167 m; calha levantada 13.14 m"
34500.51;714668.61;7022504.68;1811.43;-7.41;-7.41;"1983 RS 34534.33 a 154 m; calha levantada 10.61 m"
32500.51;716103.72;7023702.91;1824.33;-7.61;-7.61;"1983 RS 32534.33 a 156 m; calha levantada 11.04 m"
30500.51;717891.25;7024670.91;1794.41;-7.81;-7.81;"1983 RS 30534.33 a 199 m; calha levantada 11.10 m"
28500.51;719536.15;7025812.26;1792.49;-8.01;-8.01;"1983 RS 28534.33 a 215 m; calha levantada 11.68 m"
26500.51;721159.60;7024613.12;1189.26;-8.21;-8.21;"1983 RS 26534.33 a 504 m; calha levantada 10.87 m"
24500.51;722250.52;7024505.42;1358.89;-8.41;-8.41;"1983 RS 24534.33 a 338 m; calha levantada 10.62 m"
22500.51;722235.58;7026501.11;1989.91;-8.61;-8.61;"1983 RS 22534.33 a 59 m; calha levantada 10.91 m"
20500.51;723443.09;7027502.41;2076.71;-8.81;-8.81;"1983 RS 20534.33 a 15 m; calha levantada 11.27 m"
18500.51;724889.13;7028460.60;2060.40;-9.01;-9.01;"1983 RS 18534.33 a 153 m; calha levantada 11.29 m"
16500.51;726391.02;7029201.71;1879.63;-9.21;-9.21;"1983 RS 16534.33 a 209 m; calha levantada 11.04 m"
14500.51;726451.14;7027211.71;1951.38;-9.41;-9.41;"1983 RS 14534.33 a 38 m; calha levantada 10.84 m"
12500.51;726263.77;7025412.16;2129.97;-9.61;-9.61;"1983 RS 12534.33 a 15 m; calha levantada 11.01 m"
10500.51;727771.22;7026110.68;1737.36;-9.81;-9.81;"1983 RS 10534.33 a 277 m; calha levantada 10.86 m"
8500.51;729735.84;7026127.08;1896.06;-10.01;-10.01;"1983 RS 8534.33 a 245 m; calha levantada 10.97 m"
6500.51;729766.64;7024181.68;2184.56;-10.21;-10.21;"1983 RS 6534.33 a 31 m; calha levantada 12.61 m"
4500.51;731805.98;7024520.03;1934.25;-10.41;-10.41;"1983 RS 4534.33 a 232 m; calha levantada 11.97 m"
2500.51;731942.01;7022755.31;2194.74;-10.61;-10.61;"1983 RS 2534.33 a 16 m; calha levantada 13.74 m"
500.51;733494.61;7021645.95;2238.84;-10.81;-10.81;"1983 RS 559.16 a 47 m; calha levantada 11.15 m"
