categoria;RiverStation
orientacao_angular;112589.95
orientacao_angular;112549.83
orientacao_angular;112394.45
orientacao_angular;112319.30
orientacao_angular;112244.16
orientacao_angular;111555.17
orientacao_angular;111456.10
orientacao_angular;111072.16
orientacao_angular;110886.38
orientacao_angular;110700.59
orientacao_angular;110166.95
orientacao_angular;107910.42
orientacao_angular;107826.38
orientacao_angular;107742.34
orientacao_angular;107658.30
orientacao_angular;106060.12
orientacao_angular;105929.24
orientacao_angular;105798.36
orientacao_angular;105382.99
orientacao_angular;104951.78
orientacao_angular;104878.43
orientacao_angular;104805.07
orientacao_angular;104413.85
orientacao_angular;103162.79
orientacao_angular;103115.63
orientacao_angular;103068.48
orientacao_angular;103021.32
orientacao_angular;102974.17
orientacao_angular;102927.02
orientacao_angular;102879.86
orientacao_angular;102832.71
orientacao_angular;102296.48
orientacao_angular;101992.27
orientacao_angular;101698.58
orientacao_angular;101022.64
orientacao_angular;100200.76
orientacao_angular;99257.80
orientacao_angular;99097.62
orientacao_angular;98147.03
orientacao_angular;98077.92
orientacao_angular;97060.99
orientacao_angular;96864.68
orientacao_angular;96471.65
orientacao_angular;96274.93
orientacao_angular;95639.10
orientacao_angular;95517.90
orientacao_angular;95396.70
orientacao_angular;95275.51
orientacao_angular;94877.77
orientacao_angular;94739.50
orientacao_angular;94601.23
orientacao_angular;94222.95
orientacao_angular;93255.21
orientacao_angular;92775.65
orientacao_angular;92659.71
orientacao_angular;92478.52
orientacao_angular;92413.27
orientacao_angular;92348.02
orientacao_angular;92282.77
orientacao_angular;91823.43
orientacao_angular;91690.34
orientacao_angular;91557.24
orientacao_angular;91424.15
orientacao_angular;89956.85
orientacao_angular;89142.12
orientacao_angular;89054.71
orientacao_angular;88967.29
orientacao_angular;88879.88
orientacao_angular;88792.46
orientacao_angular;88705.05
orientacao_angular;88374.99
orientacao_angular;86358.99
orientacao_angular;86081.03
orientacao_angular;85530.36
orientacao_angular;83836.29
orientacao_angular;83481.74
orientacao_angular;83356.11
orientacao_angular;82721.57
orientacao_angular;82463.89
orientacao_angular;81232.15
orientacao_angular;81100.01
orientacao_angular;80967.87
orientacao_angular;80727.06
orientacao_angular;79894.75
orientacao_angular;79714.43
orientacao_angular;79098.24
orientacao_angular;78842.67
orientacao_angular;77854.13
orientacao_angular;76397.58
orientacao_angular;76244.85
orientacao_angular;75768.43
orientacao_angular;75682.97
orientacao_angular;73166.27
orientacao_angular;73119.01
orientacao_angular;73071.74
orientacao_angular;73024.48
orientacao_angular;72977.21
orientacao_angular;72929.95
orientacao_angular;72882.69
orientacao_angular;72835.42
orientacao_angular;72788.16
orientacao_angular;72740.89
orientacao_angular;72693.63
orientacao_angular;72504.15
orientacao_angular;72409.20
orientacao_angular;72314.25
orientacao_angular;72219.30
orientacao_angular;72124.35
orientacao_angular;72029.40
orientacao_angular;71934.45
orientacao_angular;70445.81
orientacao_angular;70341.87
orientacao_angular;70012.55
orientacao_angular;69133.70
orientacao_angular;67139.57
orientacao_angular;66498.90
orientacao_angular;66020.78
orientacao_angular;65870.12
orientacao_angular;65308.74
orientacao_angular;64528.54
orientacao_angular;64140.31
orientacao_angular;63522.38
orientacao_angular;63292.68
orientacao_angular;63062.97
orientacao_angular;62351.83
orientacao_angular;59128.99
orientacao_angular;56789.82
orientacao_angular;56099.99
orientacao_angular;55295.14
orientacao_angular;53597.06
