rs;x;y;estaca_talvegue;z_lamina_mdt;z_leito_A_LEVANTAR;observacao
28121.19;638717.37;6965180.24;108.00;362.06;360.98;"1983 RS 28171.50 a 58 m; calha levantada 8.83 m"
27971.19;638619.62;6965304.24;88.00;358.79;360.98;"1983 RS 28171.50 a 198 m; calha levantada 8.83 m"
27521.19;638297.77;6965627.24;44.00;358.77;360.48;"1983 RS 27171.50 a 354 m; calha levantada 7.61 m"
25421.19;637551.90;6967545.39;108.00;358.26;356.48;"1983 RS 25273.37 a 148 m; calha levantada 7.70 m"
24971.19;637400.11;6967972.16;56.00;358.20;354.98;"1983 RS 25027.58 a 62 m; calha levantada 7.22 m"
24821.19;637421.97;6968127.39;36.00;352.21;352.98;"1983 RS 24731.46 a 95 m; calha levantada 11.79 m"
24671.19;637505.87;6968257.38;56.00;352.20;352.98;"1983 RS 24731.46 a 60 m; calha levantada 11.79 m"
24521.19;637628.12;6968349.38;100.00;349.57;352.98;"1983 RS 24731.46 a 209 m; calha levantada 11.79 m"
23321.19;637898.49;6969384.92;60.00;348.38;351.98;"1983 RS 23205.00 a 116 m; calha levantada 7.31 m"
21221.19;636946.10;6971136.65;32.00;346.01;350.48;"1983 RS 21205.00 a 32 m; calha levantada 9.83 m"
19121.19;637209.60;6973154.72;76.00;345.09;346.98;"1983 RS 19361.21 a 237 m; calha levantada 8.34 m"
17021.19;636624.14;6974673.29;60.00;342.39;343.48;"1983 RS 16628.90 a 389 m; calha levantada 8.14 m"
14921.19;636237.09;6976559.47;28.00;342.11;340.98;"1983 RS 14790.78 a 136 m; calha levantada 7.54 m"
12821.19;634643.73;6977721.64;20.00;341.65;338.48;"1983 RS 12952.29 a 157 m; calha levantada 7.31 m"
10721.19;634354.55;6979453.41;40.00;337.52;335.98;"1983 RS 11140.39 a 418 m; calha levantada 7.87 m"
8621.19;633629.35;6981259.53;52.00;335.74;333.48;"1983 RS 8200.01 a 413 m; calha levantada 7.67 m"
6521.19;633191.95;6983112.21;160.00;335.74;332.48;"1983 RS 6200.01 a 318 m; calha levantada 8.10 m"
4421.19;633542.57;6985055.24;184.00;335.73;331.98;"1983 RS 4200.01 a 232 m; calha levantada 8.07 m"
2321.19;634048.14;6986590.07;112.00;334.26;330.98;"1983 RS 2200.01 a 146 m; calha levantada 10.71 m"
221.19;633955.11;6988686.37;244.00;334.23;329.98;"1983 RS 200.01 a 29 m; calha levantada 7.14 m"
0.00;633795.33;6988867.69;0.00;333.96;329.97;"1983 RS 75.00 a 145 m; calha levantada 8.07 m"
