dist_foz_km;largura_fbds_m;obs
8.19;;sem poligono
7.69;23.3;
7.19;28.1;
6.69;34.4;
6.19;26.8;
5.69;16.9;
5.19;25.8;
4.69;21.6;
4.19;46.6;
3.69;25.4;
3.19;21.6;
2.69;11.3;
2.19;44.4;
1.69;58.2;
1.19;15.3;
0.69;63.6;
