dist_foz_km;largura_lamina_m;largura_calha_plena_m;cota_espelho;obs
47.30;;;;sem margem
46.80;;;;sem margem
46.30;;;;sem margem
45.80;;;;sem margem
45.30;;;;sem margem
44.80;;;;sem margem
44.30;;;;sem margem
43.80;;;;sem margem
43.30;145;212;0.79;
42.80;;;;sem margem
42.30;150;191;0.31;
41.80;;;;sem margem
41.30;;;;sem margem
40.80;190;239;0.38;
40.30;;;;sem margem
39.80;;;;sem margem
39.30;188;234;0.30;
38.80;134;161;0.09;
38.30;3;33;0.30;
37.80;171;214;0.00;
37.30;124;177;0.00;
36.80;179;248;0.01;
36.30;194;257;0.00;
35.80;196;232;0.00;
35.30;203;243;0.01;
34.80;213;243;0.00;
34.30;165;210;0.01;
33.80;175;220;0.00;
33.30;135;161;0.00;
32.80;217;248;0.00;
32.30;209;245;0.00;
31.80;187;221;0.00;
31.30;164;178;0.00;
30.80;203;230;0.00;
30.30;231;258;0.00;
29.80;212;258;0.00;
29.30;;;;sem margem
28.80;;;;sem margem
28.30;129;186;0.00;
27.80;180;217;0.00;
27.30;172;198;0.00;
26.80;191;218;0.00;
26.30;225;244;0.00;
25.80;;;;sem margem
25.30;;;;sem margem
24.80;163;183;0.00;
24.30;191;217;0.00;
23.80;213;244;0.00;
23.30;226;258;0.00;
22.80;207;237;0.00;
22.30;199;227;0.00;
21.80;222;255;0.00;
21.30;190;218;0.00;
20.80;186;213;0.00;
20.30;218;243;0.00;
19.80;265;285;0.00;
19.30;213;240;0.00;
18.80;218;245;0.00;
18.30;;;;sem margem
17.80;284;321;0.00;
17.30;;;;sem margem
16.80;159;183;0.00;
16.30;187;204;0.03;
15.80;215;235;0.00;
15.30;192;223;0.00;
14.80;215;238;0.00;
14.30;216;236;0.00;
13.80;;;;sem margem
13.30;;;;sem margem
12.80;290;319;0.00;
12.30;;;;sem margem
11.80;220;242;0.00;
11.30;227;249;0.00;
10.80;204;220;0.00;
10.30;250;267;0.00;
9.80;;;;sem margem
9.30;231;244;0.00;
8.80;225;249;0.00;
8.30;219;252;0.00;
7.80;149;173;0.00;
7.30;;;;sem margem
6.80;;;;sem margem
6.30;;;;sem margem
5.80;237;264;0.00;
5.30;253;275;0.00;
4.80;;;;sem margem
4.30;;;;sem margem
3.80;;;;sem margem
3.30;;;;sem margem
2.80;;;;sem margem
2.30;;;;sem margem
1.80;;;;sem margem
1.30;;;;sem margem
0.80;;;;sem margem
0.30;;;;sem margem
